TimeStamp,e0:d1:73:a1:20:e1,e0:d1:73:a1:20:e5,e0:d1:73:a1:20:e0,54:78:1a:24:67:c5,54:78:1a:24:67:c0,54:78:1a:24:67:c4,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,e0:d1:73:a1:20:ef,e0:d1:73:a1:20:eb,54:78:1a:24:67:c2,e0:d1:73:a1:20:ed,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,e0:d1:73:a1:20:ee,cc:d5:39:24:a7:74,e0:d1:73:a1:20:e2,cc:d5:39:24:a7:72,84:78:ac:dc:d4:a0,84:78:ac:dc:d4:a5,84:78:ac:dc:d4:a1,84:78:ac:dc:d4:a4,20:3a:07:aa:41:30,20:3a:07:aa:41:35,e0:d1:73:d8:74:90,e0:d1:73:d8:74:94,e0:d1:73:d8:74:91,20:3a:07:aa:41:3b,e0:d1:73:d8:74:92,20:3a:07:aa:41:34,e0:d1:73:d8:74:95,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3d,20:3a:07:aa:41:3a,e0:d1:73:de:ac:10,e0:d1:73:de:ac:11,e0:d1:73:d8:74:9f,e0:d1:73:de:ac:15,e0:d1:73:d8:74:9d,e0:d1:73:d8:74:9e,e0:d1:73:d8:74:9b,e0:d1:73:d8:74:9a,e0:d1:73:d8:74:9c,e0:d1:73:de:ac:14,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:de:ac:12,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:de:ac:1a,e0:d1:73:de:ac:1b,e0:d1:73:bd:c9:aa,e0:d1:73:de:ac:1f,e0:d1:73:de:ac:1d,e0:d1:73:de:ac:1e,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:de:ac:1c,e0:d1:73:bd:c9:ae,54:78:1a:24:67:cf,84:78:ac:dc:d4:a2,cc:d5:39:9a:e4:80,cc:d5:39:9a:e4:85,cc:d5:39:9a:e4:81,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:82,34:a8:4e:29:3d:9f,34:a8:4e:29:3d:9a
1454082014555,,-81,-81,,,,,,,,,,-81,,,,-84,,,,,,,,,,,,,,,,,,,,,,-86,-84,,-86,,,,,,-84,-62,-56,-61,-56,-61,-71,-56,-73,-68,-67,-83,-56,-74,-61,-57,-72,-68,-69,-69,-67,-60,-69,-75,-73,-75,-73,-67,-73,-90,-88,-84,-90,-87,-88,-86,-84,-83,-83,-89,-85,,,,,,,,,
1454082017897,,-81,-81,,,,,,,,,,-81,,,,-84,,,,,,,,,,,,,,,,,,,,,,-83,-85,,-83,,,,,,-84,-63,-56,-61,-54,-64,-71,-54,-69,-69,-68,-83,-54,-69,-63,-53,-72,-60,-59,-59,-60,-63,-60,-75,-76,-75,-71,-62,-72,,,-84,,,,-83,-82,-83,-81,,-83,,,,,,,,,
1454082021238,,-81,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,-86,-86,,-87,,,,,,,-63,,,-53,-61,-70,-53,-67,-70,-68,,-53,-68,-59,-54,-68,-58,-58,-58,-58,-60,-58,,-72,-72,-71,-59,-70,,,,,,,-82,-82,-81,-80,,-81,,,,,,,,,
1454082024571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,-87,,-88,,,,,,,-62,,,-53,-64,-67,-53,-69,-70,-70,,-57,-70,-66,-55,-68,-62,-60,-61,-63,-66,-60,,-70,-69,-71,-61,-70,,,,,,,-84,-82,-82,-82,,-82,,,,,,,,,
1454082027890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,-88,,-88,,,,,,,-62,,-64,-47,-64,-71,-47,-73,-71,-74,,-47,-73,-67,-47,-73,-62,-63,-61,-62,-67,-62,-71,-69,-70,,-61,-69,,,,,,,-84,-80,-78,-78,,-79,,,,,,,,,
1454082031261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-88,,-88,,,,,,,-62,-54,-62,-47,-64,-73,-53,-73,-72,-71,-87,-47,-74,-63,-55,-73,-57,-56,-57,-56,-65,-56,-68,-70,-69,-68,-56,-69,,,-82,,,,-81,-79,-79,-79,,-79,,,,,,,,,
1454082034613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-89,,-88,,,,,,,-62,-54,-69,-48,-65,-72,-47,-74,-72,-71,-87,-48,-73,-69,-46,-73,-51,-53,-53,-52,-67,-53,-68,-68,-67,-68,-52,-67,,,-82,,,,-81,-74,-74,-74,,-78,,,,,,,,,
1454082037940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-88,,-88,,,,,,,-66,-54,-69,-50,-63,-69,-51,-70,-72,-70,-87,-50,-70,-64,-53,-73,-64,-62,-62,-60,-63,-62,-68,-66,-67,-64,-60,-65,,,-82,,,,-74,-72,-72,-72,,-72,,,,,,,,,
1454082041265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,-88,,,,,,,-66,,-69,-51,-63,-71,-51,-71,-70,-72,,-51,-72,-63,-50,-71,-59,-62,-61,-60,-63,-62,-63,-62,-62,-64,-60,-63,,,,,,,-74,-78,-77,-76,,-77,,,,,,,,,
1454082044605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,-66,-49,-66,-56,-67,-72,-51,-74,-73,-74,,-51,-74,-67,-50,-74,-61,-62,-60,-60,-68,-62,-68,-68,-72,-67,-60,-63,,,-79,,,,-74,-83,-79,-80,,-79,,,,,,,,,
1454082047951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65,-43,-67,-56,-67,-74,-42,-76,-76,-75,,-51,-75,-68,-42,-76,-53,-52,-53,-53,-68,-52,-67,-70,-68,-68,,-63,,,-83,,,,,-83,-81,-82,,-81,,,,,,,,,
1454082051292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-44,-69,-41,-69,-77,-42,-79,-78,-80,,,-79,-70,-42,-78,-48,-50,-48,-48,-70,-49,-67,-67,-67,-67,,,,,-79,,,,,-81,-80,-80,,-80,,,,,,,,,
1454082054635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-38,-65,-38,-67,-76,-38,-77,-78,-75,,,-76,-66,-38,-75,-48,-49,-48,-47,-67,-48,-72,-71,-71,-73,,,,,-83,,,,,-83,-82,-82,,-80,,,,,,,,,
1454082057968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-46,-71,-48,-71,-79,-48,-80,-77,-81,,,-80,-70,-47,-78,-57,-53,-53,-53,-71,-53,-72,-72,-73,-73,,,,,-85,,,,,-84,-84,-84,,-84,,,,,,,,,
1454082061280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-59,-71,-48,-71,-81,-52,-81,-80,-80,,,-80,-74,-53,-79,-57,-58,-61,-60,-73,-58,-74,-74,-73,-73,-58,,,,-86,,,,-89,-84,-84,-88,,-84,,,,,,,,,
1454082064596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-52,-70,-50,-70,-81,-52,-82,-80,-81,,-50,-83,-69,-53,-79,-55,-55,-57,-55,-73,-55,-72,-74,-73,-71,-60,-71,,,-87,,,,-85,-84,-86,-83,,-84,,,,,,,,,
1454082067926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-46,-70,-47,-72,-79,-47,-78,-79,-81,,-47,-78,-69,-47,-79,-60,-60,-59,-58,-72,-59,-72,-74,-73,-72,-57,-71,,,-85,,,,-84,-85,-84,-85,,-85,,,,,,,,,
1454082071263,,,,-84,-85,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-46,-70,-52,-74,-82,-52,-80,-86,-82,,-52,-81,-75,-53,-79,-55,-56,-56,-56,-72,-56,-72,-74,-75,-72,-53,-74,,,-85,,,,-90,-89,-84,-85,,-85,,,,,,,,,
1454082074597,,,,-84,-85,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-46,-74,-51,-71,-81,-51,-79,-81,-82,,-51,-78,-73,-53,-78,-58,-60,-59,-57,-72,-60,,-76,-79,-72,-59,-76,,,-85,,,,-90,-84,-84,-85,,-84,,,,,,,,,
1454082077927,,,,-84,-85,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,-46,-68,-78,-44,-83,-83,-83,,-45,-84,-68,-44,-82,-53,-52,-56,-56,-69,-52,,-73,-72,,-59,-71,,,,,,,-90,-84,-81,-81,,-82,,,,,,,,,
1454082081256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-49,-71,-48,-71,-77,-48,-78,-77,-79,,-45,-78,-71,-46,-76,-61,-60,-57,-59,-71,-60,-76,-72,-74,-76,-59,-71,,,-83,,,,,-85,-84,-84,,-84,,,,,,,,,
1454082084574,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-60,-76,-48,-71,-80,-53,-79,-79,-77,,-45,-79,-74,-56,-78,-61,-58,-64,-62,-73,-58,-73,-75,-73,-73,-58,-75,,,-83,,,,,-87,-84,-87,,-84,,,,,,,,,
1454082087901,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-55,-68,-56,-71,-80,-53,-78,-76,-81,,-55,-77,-68,-56,-78,-67,-65,-66,-65,-73,-65,-76,-75,-74,-79,-65,-78,,,-80,,,,-79,-82,-85,-87,,-85,,,,,,,,,
1454082091222,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67,-56,-71,-59,-71,-78,-58,-78,-77,-80,,-58,-79,-68,-56,-78,-64,-65,-68,-65,-73,-65,-72,-66,-74,-71,-65,-69,,,-82,,,,-83,-82,-81,-81,,-82,,,,,,,,,
1454082094539,,,,-85,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-56,-71,-59,-72,-76,-64,-76,-78,-76,,-63,-76,-74,-65,-78,-73,-70,-70,-72,-74,-70,-72,-82,-74,-76,-72,-77,,,-82,,,,-88,-89,-81,-83,,-88,,,-88,,,-86,,,
1454082097868,-87,,-87,-86,-89,,,,,,,,,-85,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-66,-71,-67,-73,-78,-68,-80,-82,-80,,-63,-80,-76,-68,-78,-75,-74,-78,-74,-75,-74,-79,-77,-80,-78,-72,-77,,,-82,,,,-88,-89,-90,-91,,-90,,,-88,,,-86,,,
1454082101242,-88,,-87,-85,-89,-85,,,,,,,,-82,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-65,-71,-67,-73,-78,-64,-76,-82,-77,,-63,-76,-72,-65,-76,-76,-76,-76,-74,-73,-75,-78,-80,-78,-78,-76,-77,,,,,,,-90,-91,-90,-91,,-90,,,-88,,-86,-86,-87,,
1454082104586,-88,,-87,-85,-85,-87,,,,,,,,-84,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-65,-72,-65,-74,-77,-64,-78,-81,-77,,-66,-77,-73,-63,-77,-75,-74,-74,-75,-74,-74,-78,-82,-83,-78,-74,-80,,,,,,,-90,-89,-89,-91,,-90,,,,,-86,-86,-87,,
1454082107931,-82,-82,-83,-83,-84,-84,,,,,,,-83,-83,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-65,-72,-70,-72,-80,-70,-81,-80,-77,,-70,-82,-73,-68,-81,-78,-77,-77,-78,-73,-77,-78,-77,-79,-78,-78,-81,,,,,,,-90,-89,-89,-89,,,,,-86,,-86,-87,-87,,
1454082111271,-84,-83,-83,-82,-83,-83,,,,,,,-83,-83,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,,-72,-65,-72,-76,-66,-75,-76,-76,,-65,-75,-73,-66,-81,-74,-74,-73,-74,-73,-74,,-80,-79,-79,-74,-80,,,,,,,-89,-88,-89,-89,,-89,,,-86,,,-87,,,
1454082114604,-84,-83,-83,-82,-83,-83,,,,,,,-83,-83,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,,,-64,-68,-80,-65,-79,-81,-76,,-65,-78,-68,-64,-79,-75,-75,-75,-76,-68,-74,,-78,-77,-79,-73,-77,,,,,,,-87,-88,-88,-86,,-87,,,-86,-84,-86,-86,,,
1454082117951,-86,-83,,-82,-83,-83,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,,,-65,-68,-81,-65,-83,-82,-76,,-66,-82,-68,-64,-82,-76,-74,-74,-75,-68,-74,-80,-79,-80,-79,-74,-77,,,,,,,-87,-88,-90,-86,,-87,,,-86,-85,-86,-86,,,
1454082121316,-86,-86,,-87,-87,,,,,,,,-87,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,-63,-74,-82,-62,-83,-82,,,-63,-84,-73,-62,-84,-72,-73,-73,-72,-73,-73,-80,-81,-85,,-76,-84,,,,,,,-87,-88,-92,-86,,-89,,,-85,-86,-86,-86,,,
1454082124648,-86,-86,,-87,-87,,,,,,,,-87,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-62,-74,-62,-76,-82,-60,-81,-83,-83,,-61,-82,-73,-60,-84,-73,-70,-70,-72,-77,-70,-80,-84,-85,-83,-74,-82,,,,,,,-92,,-92,,,-89,,,-85,-85,,,-84,,
1454082127978,-86,-86,,-87,-87,,,,,,,,-87,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-62,-74,-62,-76,-79,-62,-79,-78,-77,,-62,-79,-75,-61,-84,-74,-74,-74,-74,-74,-74,,-81,-85,-82,-72,-81,,,,,,,-92,,-92,-92,,-89,,,-85,-85,,,-84,,
1454082131322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-62,-69,-64,-72,-79,-64,-78,-77,-79,,-65,-78,-69,-64,,-75,-75,-76,-73,-69,-75,,-78,-80,-82,-77,-81,,,,,,,-92,-92,,-89,,-88,,,-85,-85,,,-84,,
1454082134658,,-83,-84,-85,,-86,,,,,,,-84,-85,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-69,-68,-72,-79,-68,-79,-80,-79,,-68,-79,-71,-68,-79,-77,-77,-76,-77,-71,-80,,-83,-80,-82,-75,-82,,,,,,,-90,-92,,-92,,-88,,,,,,,,,
1454082137997,-85,-83,-84,-86,-83,-86,,,,,,,-84,-84,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,-68,-73,-79,-67,-81,-81,-80,,-68,-81,-68,-69,-81,-77,-78,-76,-76,-69,-77,-81,-80,-81,,-75,-80,,,,,,,-90,-92,,-92,,-88,,,,,,,,,
1454082141318,-80,-83,-80,-83,-83,-86,,,,,,,-80,-84,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,-67,-73,-76,-67,-78,-77,-79,,-66,-78,-74,-69,-78,-70,-73,-75,-71,-73,-73,-80,-79,-79,,-75,-80,,,,,,,-90,-90,-89,-92,,-86,,,,,,,,,
1454082144652,-83,,-80,-84,-83,-86,,,,,,,-85,-86,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-69,-67,-73,-75,-69,-74,-75,-75,,-66,-75,-69,-69,-78,-70,-74,-75,-73,-73,-74,-77,-76,-79,-75,-73,-80,,,-89,,,,-88,-90,-89,-91,,-86,,,,,,,,,
1454082147989,-83,-82,-82,-84,-83,-86,,,,,,,-82,-86,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-66,-69,-67,-73,-77,-69,-74,-74,-74,,-66,-74,-70,-67,-74,-70,-72,-73,-77,-69,-72,-80,-79,-80,-79,-73,-78,,,-86,,,,-86,-90,-87,-89,,-86,,,,,,,,,
1454082151318,-83,-86,-85,-84,,-86,,,,,,,-85,-86,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,-64,-69,,,-73,-69,-76,-76,-76,,-65,-75,-68,-64,-75,,-73,-75,-72,-69,-73,-76,-76,-76,-79,-72,-78,,,-88,,,,-90,-87,-88,-89,,,,,,,,,,,
1454082154632,,-86,-85,,-86,-86,,,,,,,-85,-86,,,-85,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,-64,-67,-64,-68,-63,-73,,-71,-74,-71,,-68,-72,-68,-64,-71,-77,-77,-73,-77,-69,-77,-76,-76,-76,-79,-78,-77,,,-89,,,,-84,-85,-89,-89,,-87,,,,,,,,,
1454082157961,-87,-86,-85,,-86,-86,,,,,,,-85,-86,,,-85,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,-67,-67,-64,-64,-66,-77,-65,-80,-78,-78,,-68,-80,-68,-64,-71,-74,-73,-73,-75,-67,-73,-76,-75,-76,-76,-76,-76,,,-90,,,,-92,-85,-89,,,-90,,,-85,,,,,,
1454082161300,-87,-86,-85,,-86,-86,,,,,,,-85,-86,,,-85,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,-67,-67,-64,-63,-69,-78,-64,-79,-83,-78,,-63,-79,-67,-64,-78,-73,-75,-74,-73,-68,-74,,-78,-79,-76,-71,-79,,,-90,,,,-92,-85,-90,,,-90,,,-85,,,,,,
1454082164638,-87,-85,-85,-85,-86,-86,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67,,,-66,-67,-76,-66,-76,-77,-78,,-67,-77,-67,-67,-77,-73,-75,-75,-75,-67,-75,,-80,-79,-76,-73,-79,,,-90,,,,-90,-90,-90,-85,,-89,,,-85,,,,,,
1454082167982,-87,-85,,-88,,-85,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-65,-71,-80,-66,-79,-78,,,-65,-78,-71,-64,-79,-73,-74,-74,-72,-71,-73,,-76,-75,,-70,-77,,,,,,,-90,-90,-90,-85,,-89,,,,,-88,,,,
1454082171331,,-86,,-88,,-85,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-63,-69,-81,-64,-81,-78,,,-63,-82,-69,-63,-82,-72,-71,-71,-71,-70,-71,,-74,-73,,-75,-75,,,,,,,-87,-88,-86,-87,,-88,,,,,-88,,,,
1454082174691,,-86,,-88,,-85,,,,,,,,-87,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-60,-70,-60,-72,-81,-61,-81,-80,-80,,-59,-81,-70,-63,-79,-70,-70,-74,-69,-70,-70,-73,-74,-73,-73,-73,-74,,,-89,,,,-86,-89,-86,-87,,-88,,,,,-88,,,,
1454082178015,,-86,,,-86,-86,,,,,,,,-87,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-61,-70,-62,-71,-80,-62,-81,-78,-79,,-62,-81,-70,-63,-79,-74,-74,-74,-74,-74,-74,-76,-76,-73,-76,-75,-77,,,-87,,,,-87,-89,-86,-86,,-86,,,,,,,,,
1454082181351,,-87,,,-86,-86,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-61,-70,-62,-74,-78,-63,-77,-80,-79,,-62,-77,-70,-63,-77,-75,-73,-73,-74,-74,-73,-76,-79,-80,-76,-75,-79,,,-87,,,,-87,-89,,-86,,-86,,,,,,,,,
1454082184694,-88,-87,,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-61,-79,-57,-75,-80,-57,-79,-79,-79,,-58,-79,-78,-56,-78,-65,-67,-67,-65,-76,-66,-76,-75,-77,-76,-67,-75,,,-87,,,,-87,-86,-85,-86,,-88,,,,,,,,,
1454082188038,-88,-87,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-58,-73,-80,-57,-82,-83,,,-59,-81,-74,-58,-81,-65,-69,-69,-68,-74,-69,,-76,-77,,-67,-76,,,,,,,,-87,-88,-89,,-88,,,,,,,,,
1454082191376,-88,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-58,-77,-82,-58,-82,-84,-85,,-58,-81,-74,-59,-81,-67,-68,-67,-67,-75,-68,,-75,-77,,-69,-76,,,,,,,,-89,-88,-89,,-89,,,-84,-85,,,,,
1454082194743,,,,-86,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61,-74,-59,-75,-82,-59,-82,-82,-82,,-61,-82,-74,-59,-82,-66,-66,-71,-66,-75,-67,-75,-75,-75,-75,-69,-76,,,-90,,,,-90,-89,-86,-89,,-89,,,-85,-86,,-85,-86,,
1454082198069,,,,-86,-85,-87,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-60,-74,-60,-75,-81,-59,-82,-80,-82,,-60,-83,-74,-61,-82,-66,-68,-68,-67,-76,-68,-75,-79,-75,-75,-68,-76,,,-85,,,,-86,-89,-86,-86,,-85,,,-86,-88,,-86,-87,,
1454082201404,,,,-86,-85,-83,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-60,-74,-63,-77,-81,-59,-84,-84,-82,,-61,-82,-78,-64,-86,-64,-71,-71,-66,-78,-71,-75,-79,-77,-75,-65,-79,,,-85,,,,-86,-88,-86,-86,,-87,,,-86,-85,-84,-86,-87,,
1454082204760,,,,-84,-85,-84,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-60,-74,-61,-74,-83,-60,-86,-85,-82,,-62,-86,-75,-60,-87,-65,-64,-64,-70,-75,-65,,-81,-77,,-64,-79,,,-85,,,,-86,-88,-91,-86,,-91,,,-88,-85,-86,-86,-87,,
1454082208086,,,,-87,-87,-88,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,,-74,-54,-76,-86,-54,-84,-85,-84,,-53,-86,-76,-52,-87,-63,-60,-60,-63,-77,-60,,-80,-77,-81,-62,-82,,,-86,,,,-89,-86,-91,,,-89,,,-84,-84,-83,-85,,,
1454082211474,,,,-87,-87,-85,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,,-79,-57,-77,-86,-58,-84,-85,-84,,-57,-86,-78,-58,-87,-63,-64,-65,-64,-77,-64,,-78,-77,-81,-64,-78,,,-86,,,,-89,-86,-90,,,-90,,,-89,-84,-83,-85,,,
1454082214854,,,,-87,-87,-85,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-56,-76,-59,-78,-86,-58,-88,-88,-90,,-57,-85,-75,-58,-88,-66,-63,-66,-64,-75,-64,-82,-80,-82,-84,-64,-78,,,-86,,,,-89,-91,-90,,,-90,,,-89,-87,-83,-85,,-91,-92
1454082218216,,,,-85,,-85,,,,,-86,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-51,-72,-59,-74,-83,-51,-85,-82,-84,,-57,-85,-72,-53,-84,-61,-64,-63,-62,-73,-64,-82,-75,-75,-75,-64,-78,,,,,,,,-91,-89,,,-90,,,-89,-87,,,,-91,-92
1454082221535,,,,-85,,,,,,,-86,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-51,-74,-45,-75,-81,-46,-81,-79,-84,,-45,-82,-73,-46,-82,-56,-56,-58,-56,-73,-57,-79,-78,-77,-75,,-78,,,,,,,,-88,-88,-90,,-86,,,,-87,,,,-91,-92
1454082224918,,,,-85,,,,,,,-88,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-51,-74,-49,-73,-78,-48,-78,-82,-80,,-49,-79,-72,-44,-82,-55,-54,-54,-55,-72,-54,-79,-74,-77,-73,-54,-73,,,,,,,-86,-85,-88,-85,,-85,,,,,,,,,
1454082228242,,,,,,-87,,,,,-88,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,-74,-51,-73,-79,-52,-81,-79,-81,,-49,-82,-73,-50,-82,-54,-54,-54,-56,-75,-54,-79,-71,-77,-70,-54,-70,,,,,,,-85,-91,-88,-85,,-87,,,,,,,,,
1454082231602,,,,,,-87,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,-73,-53,-71,-80,-55,-77,-80,-81,,-51,-77,-71,-53,-78,-64,-61,-62,-63,-71,-61,-73,-73,-73,-70,-62,-75,,,,,,,-85,-91,-89,-87,,-87,,,,,,,,,
1454082234961,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-58,-72,-57,-71,-80,-55,-79,-80,-81,,-58,-79,-71,-53,-80,-64,-66,-66,-66,-71,-65,-74,-73,-74,-74,-69,-72,,,,,,,-85,-86,-90,-87,,-87,,,,,,,,,
1454082238284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-61,-76,-65,-74,-81,-64,-82,-80,-83,,-62,-83,-71,-62,-80,-70,-67,-67,-70,-71,-68,-76,-77,-74,-74,-69,-75,,,-84,,,,-85,-86,-90,-85,,,,,,,,,,,
1454082241628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-61,-76,-63,-78,-83,-63,-85,-86,-82,,-64,-86,-79,-63,-80,-73,-75,-74,-72,-78,-73,-76,-73,-71,-74,-72,-75,,,-84,,,,-88,-91,-88,-89,,-88,,,,,,,,,
1454082244966,,,,,,-87,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-61,-76,-66,-79,-87,-67,-88,-86,-87,,-66,-87,-79,-68,,-75,-73,-73,-74,-77,-73,-76,-78,-71,-76,-73,-75,,,-84,,,,-88,-93,-88,-89,,-91,,,,,,,,,
1454082248284,,,,,,-87,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,,-67,-81,-87,-66,-88,-87,-89,,-68,-87,-80,-66,,-72,-70,-70,-71,-81,-70,,-79,-80,-76,-75,-78,,,,,,,-92,-88,-88,-88,,-90,,,,,,,,,
