,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8
1526450706095,-34,-33,-42,-37,-46,-42,-46,-53,-46,-54,-48,-49,-56,-48,-49,-42,-55,-54,-65,-52,-54,-57,-200,-49,-58,-56,-58,-62,-59,-57,-64,-68,-200,-200,-60,-69,-57,-74,-63,-60,-61,-70,-69,-200,-200,-78,-65,-70,-76,-78,-75,-73,-83,-85,-84,-200,-68,-200,-200,-200,-200,-60,-65,-77,-200,-75,-200,-60,-87,-90
1526450706400,-34,-33,-42,-37,-46,-42,-46,-53,-46,-54,-48,-49,-56,-48,-49,-42,-55,-54,-65,-52,-54,-57,-200,-49,-58,-56,-58,-62,-59,-57,-64,-68,-200,-200,-60,-69,-57,-74,-63,-60,-61,-70,-69,-200,-200,-78,-65,-70,-76,-78,-75,-73,-83,-85,-84,-200,-68,-200,-200,-200,-200,-60,-65,-77,-200,-75,-200,-60,-87,-90
1526450708698,-34,-34,-42,-41,-46,-42,-45,-50,-45,-50,-48,-47,-56,-50,-57,-46,-55,-53,-57,-55,-58,-51,-200,-60,-58,-57,-57,-56,-67,-58,-200,-68,-55,-200,-60,-73,-57,-74,-63,-58,-63,-70,-66,-200,-200,-77,-65,-70,-80,-82,-80,-68,-77,-85,-86,-200,-63,-200,-200,-200,-200,-60,-65,-77,-70,-75,-79,-60,-87,-90
1526450709121,-34,-34,-42,-41,-46,-42,-45,-50,-45,-50,-48,-47,-56,-50,-57,-46,-55,-53,-57,-55,-58,-51,-200,-60,-58,-57,-57,-56,-67,-58,-200,-68,-55,-200,-60,-73,-57,-74,-63,-58,-63,-70,-66,-200,-200,-77,-65,-70,-80,-82,-80,-68,-77,-85,-86,-200,-63,-200,-200,-200,-200,-60,-65,-77,-70,-75,-79,-60,-87,-90
1526450709420,-34,-34,-42,-41,-46,-42,-45,-50,-45,-50,-48,-47,-56,-50,-57,-46,-55,-53,-57,-55,-58,-51,-200,-60,-58,-57,-57,-56,-67,-58,-200,-68,-55,-200,-60,-73,-57,-74,-63,-58,-63,-70,-66,-200,-200,-77,-65,-70,-80,-82,-80,-68,-77,-85,-86,-200,-63,-200,-200,-200,-200,-60,-65,-77,-70,-75,-79,-60,-87,-90
1526450711732,-34,-35,-42,-39,-48,-42,-44,-59,-41,-52,-48,-50,-56,-49,-60,-46,-55,-51,-60,-54,-60,-51,-200,-60,-63,-58,-57,-56,-67,-62,-200,-68,-53,-200,-58,-72,-57,-74,-63,-58,-58,-70,-70,-200,-200,-77,-64,-70,-75,-83,-80,-72,-79,-85,-82,-200,-63,-200,-200,-200,-200,-60,-68,-77,-70,-75,-79,-60,-200,-90
1526450712134,-34,-35,-42,-39,-48,-42,-44,-59,-41,-52,-48,-50,-56,-49,-60,-46,-55,-51,-60,-54,-60,-51,-200,-60,-63,-58,-57,-56,-67,-62,-200,-68,-53,-200,-58,-72,-57,-74,-63,-58,-58,-70,-70,-200,-200,-77,-64,-70,-75,-83,-80,-72,-79,-85,-82,-200,-63,-200,-200,-200,-200,-60,-68,-77,-70,-75,-79,-60,-200,-90
1526450712434,-34,-35,-42,-39,-48,-42,-44,-59,-41,-52,-48,-50,-56,-49,-60,-46,-55,-51,-60,-54,-60,-51,-200,-60,-63,-58,-57,-56,-67,-62,-200,-68,-53,-200,-58,-72,-57,-74,-63,-58,-58,-70,-70,-200,-200,-77,-64,-70,-75,-83,-80,-72,-79,-85,-82,-200,-63,-200,-200,-200,-200,-60,-68,-77,-70,-75,-79,-60,-200,-90
1526450714747,-33,-31,-40,-40,-48,-38,-41,-58,-53,-47,-47,-45,-53,-47,-52,-42,-55,-51,-57,-54,-56,-59,-200,-60,-63,-56,-58,-56,-64,-57,-63,-72,-53,-62,-63,-72,-200,-74,-63,-59,-58,-200,-65,-200,-200,-77,-64,-70,-71,-77,-79,-70,-80,-83,-85,-200,-63,-200,-200,-200,-200,-200,-65,-71,-70,-75,-79,-60,-200,-200
1526450715144,-33,-31,-40,-40,-48,-38,-41,-58,-53,-47,-47,-45,-53,-47,-52,-42,-55,-51,-57,-54,-56,-59,-200,-60,-63,-56,-58,-56,-64,-57,-63,-72,-53,-62,-63,-72,-200,-74,-63,-59,-58,-200,-65,-200,-200,-77,-64,-70,-71,-77,-79,-70,-80,-83,-85,-200,-63,-200,-200,-200,-200,-200,-65,-71,-70,-75,-79,-60,-200,-200
1526450715445,-33,-31,-40,-40,-48,-38,-41,-58,-53,-47,-47,-45,-53,-47,-52,-42,-55,-51,-57,-54,-56,-59,-200,-60,-63,-56,-58,-56,-64,-57,-63,-72,-53,-62,-63,-72,-200,-74,-63,-59,-58,-200,-65,-200,-200,-77,-64,-70,-71,-77,-79,-70,-80,-83,-85,-200,-63,-200,-200,-200,-200,-200,-65,-71,-70,-75,-79,-60,-200,-200
1526450717772,-33,-35,-43,-39,-48,-38,-40,-47,-50,-50,-47,-45,-53,-51,-52,-42,-55,-51,-60,-53,-58,-54,-200,-60,-63,-59,-58,-56,-64,-62,-63,-72,-53,-62,-63,-72,-200,-74,-63,-59,-62,-200,-73,-68,-200,-76,-64,-70,-76,-77,-79,-74,-83,-89,-88,-200,-69,-200,-200,-200,-200,-200,-59,-71,-70,-75,-79,-60,-200,-200
1526450718165,-33,-35,-43,-39,-48,-38,-40,-47,-50,-50,-47,-45,-53,-51,-52,-42,-55,-51,-60,-53,-58,-54,-200,-60,-63,-59,-58,-56,-64,-62,-63,-72,-53,-62,-63,-72,-200,-74,-63,-59,-62,-200,-73,-68,-200,-76,-64,-70,-76,-77,-79,-74,-83,-89,-88,-200,-69,-200,-200,-200,-200,-200,-59,-71,-70,-75,-79,-60,-200,-200
1526450718466,-33,-35,-43,-39,-48,-38,-40,-47,-50,-50,-47,-45,-53,-51,-52,-42,-55,-51,-60,-53,-58,-54,-200,-60,-63,-59,-58,-56,-64,-62,-63,-72,-53,-62,-63,-72,-200,-74,-63,-59,-62,-200,-73,-68,-200,-76,-64,-70,-76,-77,-79,-74,-83,-89,-88,-200,-69,-200,-200,-200,-200,-200,-59,-71,-70,-75,-79,-60,-200,-200
