,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A20,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455966923,-36,-45,-49,-47,-42,-49,-60,-58,-52,-63,-60,-62,-72,-74,-48,-73,-58,-59,-52,-71,-71,-68,-77,-78,-72,-59,-65,-200,-69,-60,-85,-79,-87,-87,-76,-73,-200,-79,-80,-79,-85,-76,-77,-81,-83,-86,-71,-78,-82,-80,-87,-88,-79,-81,-200,-89,-89,-85,-78,-200,-200,-76,-79,-200,-88,-200,-95,-200,-200,-95,-86,-84,-90,-94,-95,-94,-200,-91,-200,-95,-200,-88,-85,-95,-76,-96,-90,-62,-200,-200,-95,-200,-200,-200,-95,-200,-200,-89,-200,-87,-200,-97,-200,-200,-200,-200
1526455969418,-34,-43,-47,-50,-42,-55,-60,-60,-55,-66,-61,-54,-72,-77,-47,-70,-56,-59,-53,-65,-71,-66,-77,-78,-73,-60,-65,-200,-70,-74,-86,-80,-94,-84,-76,-74,-79,-81,-79,-80,-82,-77,-77,-82,-86,-86,-71,-74,-83,-81,-87,-89,-86,-82,-92,-89,-93,-85,-79,-200,-200,-77,-77,-200,-87,-200,-200,-200,-94,-200,-86,-87,-90,-200,-92,-94,-200,-200,-200,-95,-200,-90,-95,-95,-200,-96,-90,-62,-200,-95,-95,-200,-93,-200,-97,-200,-200,-89,-200,-88,-200,-97,-200,-200,-200,-200
1526455969977,-34,-43,-47,-50,-42,-55,-60,-60,-55,-66,-61,-54,-72,-77,-47,-70,-56,-59,-53,-65,-71,-66,-77,-78,-73,-60,-65,-200,-70,-74,-86,-80,-94,-84,-76,-74,-79,-81,-79,-80,-82,-77,-77,-82,-86,-86,-71,-74,-83,-81,-87,-89,-86,-82,-92,-89,-93,-85,-79,-200,-200,-77,-77,-200,-87,-200,-200,-200,-94,-200,-86,-87,-90,-200,-92,-94,-200,-200,-200,-95,-200,-90,-95,-95,-200,-96,-90,-62,-200,-95,-95,-200,-93,-200,-97,-200,-200,-89,-200,-88,-200,-97,-200,-200,-200,-200
1526455972470,-34,-45,-50,-50,-42,-50,-61,-59,-55,-66,-61,-54,-200,-73,-48,-71,-58,-59,-53,-70,-67,-65,-82,-78,-73,-61,-64,-200,-73,-64,-86,-79,-94,-84,-78,-79,-80,-81,-79,-80,-83,-78,-76,-88,-86,-85,-71,-82,-83,-81,-86,-89,-79,-86,-92,-200,-90,-85,-77,-200,-200,-78,-78,-200,-87,-93,-200,-200,-94,-200,-87,-84,-90,-200,-95,-94,-200,-200,-200,-96,-200,-92,-95,-200,-200,-96,-88,-200,-200,-95,-95,-200,-93,-200,-95,-200,-200,-200,-200,-88,-200,-99,-88,-93,-200,-200
1526455973043,-34,-45,-50,-50,-42,-50,-61,-59,-55,-66,-61,-54,-200,-73,-48,-71,-58,-59,-53,-70,-67,-65,-82,-78,-73,-61,-64,-200,-73,-64,-86,-79,-94,-84,-78,-79,-80,-81,-79,-80,-83,-78,-76,-88,-86,-85,-71,-82,-83,-81,-86,-89,-79,-86,-92,-200,-90,-85,-77,-200,-200,-78,-78,-200,-87,-93,-200,-200,-94,-200,-87,-84,-90,-200,-95,-94,-200,-200,-200,-96,-200,-92,-95,-200,-200,-96,-88,-200,-200,-95,-95,-200,-93,-200,-95,-200,-200,-200,-200,-88,-200,-99,-88,-93,-200,-200
1526455975519,-35,-47,-44,-50,-41,-55,-60,-59,-55,-63,-60,-59,-200,-75,-47,-71,-57,-59,-53,-72,-68,-66,-80,-77,-71,-60,-65,-200,-70,-62,-86,-78,-89,-84,-76,-79,-85,-81,-79,-81,-84,-78,-77,-81,-86,-85,-71,-80,-82,-81,-87,-89,-78,-82,-92,-87,-92,-86,-76,-76,-200,-76,-77,-200,-85,-93,-200,-200,-200,-95,-86,-84,-90,-94,-93,-94,-200,-200,-200,-96,-200,-92,-95,-94,-76,-89,-89,-200,-88,-200,-92,-200,-200,-200,-95,-200,-83,-200,-200,-88,-200,-96,-88,-93,-200,-200
1526455976096,-35,-47,-44,-50,-41,-55,-60,-59,-55,-63,-60,-59,-200,-75,-47,-71,-57,-59,-53,-72,-68,-66,-80,-77,-71,-60,-65,-200,-70,-62,-86,-78,-89,-84,-76,-79,-85,-81,-79,-81,-84,-78,-77,-81,-86,-85,-71,-80,-82,-81,-87,-89,-78,-82,-92,-87,-92,-86,-76,-76,-200,-76,-77,-200,-85,-93,-200,-200,-200,-95,-86,-84,-90,-94,-93,-94,-200,-200,-200,-96,-200,-92,-95,-94,-76,-89,-89,-200,-88,-200,-92,-200,-200,-200,-95,-200,-83,-200,-200,-88,-200,-96,-88,-93,-200,-200
1526455978571,-31,-44,-45,-50,-37,-53,-61,-59,-56,-64,-61,-60,-200,-78,-47,-72,-58,-61,-54,-71,-67,-62,-78,-76,-71,-59,-65,-200,-73,-68,-200,-78,-94,-200,-70,-72,-85,-82,-81,-79,-82,-78,-77,-82,-84,-83,-71,-78,-82,-81,-86,-90,-79,-83,-86,-69,-91,-86,-78,-75,-90,-70,-79,-200,-86,-92,-200,-200,-96,-95,-86,-85,-91,-95,-93,-92,-200,-200,-200,-96,-200,-85,-200,-94,-76,-93,-91,-200,-88,-200,-92,-79,-200,-200,-200,-200,-83,-200,-200,-88,-200,-96,-88,-200,-93,-200
1526455979160,-31,-44,-45,-50,-37,-53,-61,-59,-56,-64,-61,-60,-200,-78,-47,-72,-58,-61,-54,-71,-67,-62,-78,-76,-71,-59,-65,-200,-73,-68,-200,-78,-94,-200,-70,-72,-85,-82,-81,-79,-82,-78,-77,-82,-84,-83,-71,-78,-82,-81,-86,-90,-79,-83,-86,-69,-91,-86,-78,-75,-90,-70,-79,-200,-86,-92,-200,-200,-96,-95,-86,-85,-91,-95,-93,-92,-200,-200,-200,-96,-200,-85,-200,-94,-76,-93,-91,-200,-88,-200,-92,-79,-200,-200,-200,-200,-83,-200,-200,-88,-200,-96,-88,-200,-93,-200
1526455981630,-34,-47,-48,-49,-42,-49,-57,-56,-55,-67,-60,-54,-200,-76,-46,-73,-58,-58,-54,-70,-70,-66,-78,-76,-74,-61,-65,-200,-68,-75,-200,-77,-92,-88,-76,-74,-81,-80,-82,-78,-86,-77,-76,-81,-82,-86,-73,-75,-85,-80,-85,-90,-78,-83,-86,-69,-90,-86,-78,-75,-90,-75,-77,-200,-87,-92,-200,-200,-95,-93,-200,-84,-90,-95,-92,-94,-200,-200,-200,-96,-200,-85,-200,-94,-75,-88,-89,-77,-200,-200,-95,-79,-91,-200,-97,-200,-200,-200,-200,-88,-200,-200,-200,-200,-93,-200
1526455982246,-34,-47,-48,-49,-42,-49,-57,-56,-55,-67,-60,-54,-200,-76,-46,-73,-58,-58,-54,-70,-70,-66,-78,-76,-74,-61,-65,-200,-68,-75,-200,-77,-92,-88,-76,-74,-81,-80,-82,-78,-86,-77,-76,-81,-82,-86,-73,-75,-85,-80,-85,-90,-78,-83,-86,-69,-90,-86,-78,-75,-90,-75,-77,-200,-87,-92,-200,-200,-95,-93,-200,-84,-90,-95,-92,-94,-200,-200,-200,-96,-200,-85,-200,-94,-75,-88,-89,-77,-200,-200,-95,-79,-91,-200,-97,-200,-200,-200,-200,-88,-200,-200,-200,-200,-93,-200
1526455984679,-33,-45,-49,-48,-35,-49,-57,-59,-53,-62,-61,-51,-57,-75,-40,-74,-55,-55,-53,-71,-70,-64,-76,-200,-77,-60,-67,-85,-65,-66,-200,-74,-95,-79,-75,-73,-85,-79,-82,-77,-79,-74,-77,-70,-82,-81,-71,-76,-81,-81,-85,-91,-77,-83,-86,-84,-88,-87,-78,-75,-200,-76,-76,-200,-89,-89,-200,-200,-95,-93,-86,-89,-89,-200,-90,-94,-200,-200,-200,-95,-200,-89,-200,-200,-74,-88,-90,-77,-200,-200,-95,-79,-91,-200,-97,-200,-85,-200,-200,-88,-200,-200,-200,-200,-93,-87
1526455985296,-33,-45,-49,-48,-35,-49,-57,-59,-53,-62,-61,-51,-57,-75,-40,-74,-55,-55,-53,-71,-70,-64,-76,-200,-77,-60,-67,-85,-65,-66,-200,-74,-95,-79,-75,-73,-85,-79,-82,-77,-79,-74,-77,-70,-82,-81,-71,-76,-81,-81,-85,-91,-77,-83,-86,-84,-88,-87,-78,-75,-200,-76,-76,-200,-89,-89,-200,-200,-95,-93,-86,-89,-89,-200,-90,-94,-200,-200,-200,-95,-200,-89,-200,-200,-74,-88,-90,-77,-200,-200,-95,-79,-91,-200,-97,-200,-85,-200,-200,-88,-200,-200,-200,-200,-93,-87
