,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454237613,-47,-21,-48,-52,-53,-46,-45,-53,-57,-55,-47,-63,-60,-61,-50,-68,-65,-70,-71,-65,-74,-73,-74,-71,-69,-200,-78,-46,-72,-60,-200,-68,-72,-68,-74,-63,-84,-72,-77,-54,-66,-82,-80,-58,-200,-84,-73,-200,-76,-61,-76,-77,-88,-86,-63,-78,-200,-82,-84,-67,-84,-79,-82,-62,-79,-76,-79,-200,-76,-74,-86,-200,-82,-74,-200,-87,-200,-68,-83,-84,-200,-90,-91,-85,-86,-200,-200,-200,-77,-200,-200,-200,-200,-75,-200,-77,-77,-79,-86,-86,-90,-200,-87,-200,-200,-200,-69,-200,-200,-200,-200,-89,-200,-200,-200,-200,-89
1526454237616,-49,-18,-40,-50,-46,-47,-47,-51,-58,-55,-50,-55,-63,-60,-50,-68,-69,-70,-72,-61,-77,-74,-78,-71,-76,-200,-73,-48,-200,-59,-81,-70,-79,-66,-76,-65,-76,-70,-75,-55,-67,-81,-79,-60,-200,-84,-77,-200,-77,-65,-75,-76,-83,-84,-58,-80,-200,-82,-84,-73,-76,-200,-82,-63,-80,-76,-83,-200,-74,-74,-84,-200,-83,-82,-200,-200,-200,-68,-88,-74,-200,-90,-200,-86,-86,-200,-200,-200,-75,-200,-93,-91,-200,-81,-200,-78,-77,-79,-87,-200,-86,-200,-89,-200,-87,-200,-70,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86
1526454240665,-49,-18,-40,-50,-46,-47,-47,-51,-58,-55,-50,-55,-63,-60,-50,-68,-69,-70,-72,-61,-77,-74,-78,-71,-76,-200,-73,-48,-200,-59,-81,-70,-79,-66,-76,-65,-76,-70,-75,-55,-67,-81,-79,-60,-200,-84,-77,-200,-77,-65,-75,-76,-83,-84,-58,-80,-200,-82,-84,-73,-76,-200,-82,-63,-80,-76,-83,-200,-74,-74,-84,-200,-83,-82,-200,-200,-200,-68,-88,-74,-200,-90,-200,-86,-86,-200,-200,-200,-75,-200,-93,-91,-200,-81,-200,-78,-77,-79,-87,-200,-86,-200,-89,-200,-87,-200,-70,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86
1526454240671,-56,-41,-41,-60,-46,-44,-49,-49,-58,-55,-46,-57,-56,-63,-49,-57,-60,-64,-72,-63,-78,-74,-78,-73,-76,-200,-74,-48,-70,-54,-81,-69,-77,-66,-76,-64,-76,-70,-74,-49,-70,-81,-83,-60,-76,-83,-77,-200,-77,-64,-75,-75,-83,-80,-61,-76,-200,-86,-84,-74,-74,-200,-71,-63,-80,-78,-82,-200,-72,-74,-87,-74,-83,-85,-200,-200,-200,-68,-88,-77,-200,-200,-200,-86,-86,-91,-200,-200,-75,-87,-93,-91,-200,-75,-200,-78,-77,-79,-87,-86,-90,-200,-89,-200,-87,-200,-68,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86
1526454243707,-56,-41,-41,-60,-46,-44,-49,-49,-58,-55,-46,-57,-56,-63,-49,-57,-60,-64,-72,-63,-78,-74,-78,-73,-76,-200,-74,-48,-70,-54,-81,-69,-77,-66,-76,-64,-76,-70,-74,-49,-70,-81,-83,-60,-76,-83,-77,-200,-77,-64,-75,-75,-83,-80,-61,-76,-200,-86,-84,-74,-74,-200,-71,-63,-80,-78,-82,-200,-72,-74,-87,-74,-83,-85,-200,-200,-200,-68,-88,-77,-200,-200,-200,-86,-86,-91,-200,-200,-75,-87,-93,-91,-200,-75,-200,-78,-77,-79,-87,-86,-90,-200,-89,-200,-87,-200,-68,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86
1526454243708,-55,-40,-40,-60,-48,-45,-47,-48,-58,-56,-47,-55,-61,-64,-48,-57,-67,-63,-72,-69,-78,-77,-78,-71,-76,-200,-67,-48,-71,-59,-81,-70,-77,-71,-77,-64,-76,-70,-75,-47,-66,-81,-81,-61,-76,-82,-77,-200,-75,-63,-78,-75,-85,-80,-64,-74,-200,-81,-84,-67,-74,-84,-71,-63,-80,-76,-81,-89,-73,-76,-87,-74,-85,-75,-200,-89,-200,-68,-85,-75,-200,-89,-200,-86,-88,-91,-200,-200,-76,-87,-93,-91,-200,-74,-200,-78,-76,-79,-86,-86,-88,-200,-89,-200,-87,-200,-68,-200,-88,-200,-200,-88,-200,-200,-200,-90,-86
1526454246765,-53,-39,-39,-58,-46,-43,-48,-46,-60,-55,-46,-57,-59,-64,-49,-58,-62,-64,-69,-70,-77,-77,-78,-77,-77,-200,-75,-48,-70,-54,-74,-70,-74,-60,-76,-65,-76,-69,-74,-48,-67,-81,-78,-59,-83,-82,-78,-200,-75,-64,-76,-76,-82,-80,-65,-78,-200,-83,-88,-66,-81,-84,-71,-63,-81,-76,-84,-85,-73,-75,-87,-74,-83,-75,-200,-89,-200,-68,-84,-75,-200,-89,-200,-86,-88,-91,-200,-200,-76,-87,-93,-200,-200,-74,-200,-76,-77,-79,-88,-86,-88,-200,-89,-200,-200,-200,-68,-200,-88,-200,-200,-90,-200,-200,-200,-90,-200
1526454246765,-48,-39,-40,-59,-45,-45,-49,-49,-61,-56,-47,-64,-62,-70,-49,-57,-61,-62,-72,-58,-78,-76,-78,-72,-77,-200,-75,-48,-70,-59,-74,-69,-74,-70,-75,-65,-76,-72,-75,-53,-69,-81,-81,-56,-77,-81,-78,-200,-83,-65,-79,-76,-84,-84,-63,-77,-200,-82,-88,-73,-76,-84,-71,-63,-80,-77,-84,-86,-73,-75,-86,-84,-84,-75,-200,-89,-200,-67,-84,-76,-200,-87,-200,-85,-88,-91,-200,-200,-76,-87,-200,-200,-200,-74,-76,-77,-77,-79,-87,-86,-88,-200,-200,-200,-200,-200,-68,-200,-88,-200,-200,-90,-80,-200,-200,-90,-200
1526454249817,-48,-39,-40,-59,-45,-45,-49,-49,-61,-56,-47,-64,-62,-70,-49,-57,-61,-62,-72,-58,-78,-76,-78,-72,-77,-200,-75,-48,-70,-59,-74,-69,-74,-70,-75,-65,-76,-72,-75,-53,-69,-81,-81,-56,-77,-81,-78,-200,-83,-65,-79,-76,-84,-84,-63,-77,-200,-82,-88,-73,-76,-84,-71,-63,-80,-77,-84,-86,-73,-75,-86,-84,-84,-75,-200,-89,-200,-67,-84,-76,-200,-87,-200,-85,-88,-91,-200,-200,-76,-87,-200,-200,-200,-74,-76,-77,-77,-79,-87,-86,-88,-200,-200,-200,-200,-200,-68,-200,-88,-200,-200,-90,-80,-200,-200,-90,-200
1526454249817,-59,-41,-40,-52,-48,-44,-48,-51,-59,-52,-47,-53,-62,-63,-50,-58,-62,-71,-70,-69,-76,-64,-80,-76,-77,-200,-75,-48,-71,-58,-74,-72,-77,-72,-76,-64,-76,-69,-73,-51,-71,-81,-79,-58,-77,-82,-77,-200,-77,-62,-75,-76,-84,-86,-63,-77,-200,-83,-85,-66,-76,-86,-200,-63,-79,-76,-84,-86,-77,-75,-86,-84,-84,-84,-200,-88,-200,-66,-86,-75,-200,-87,-200,-86,-200,-200,-200,-200,-79,-88,-200,-200,-200,-75,-76,-59,-77,-78,-88,-200,-90,-200,-86,-200,-200,-200,-68,-200,-200,-200,-200,-89,-80,-200,-200,-200,-200
1526454252859,-59,-41,-40,-52,-48,-44,-48,-51,-59,-52,-47,-53,-62,-63,-50,-58,-62,-71,-70,-69,-76,-64,-80,-76,-77,-200,-75,-48,-71,-58,-74,-72,-77,-72,-76,-64,-76,-69,-73,-51,-71,-81,-79,-58,-77,-82,-77,-200,-77,-62,-75,-76,-84,-86,-63,-77,-200,-83,-85,-66,-76,-86,-200,-63,-79,-76,-84,-86,-77,-75,-86,-84,-84,-84,-200,-88,-200,-66,-86,-75,-200,-87,-200,-86,-200,-200,-200,-200,-79,-88,-200,-200,-200,-75,-76,-59,-77,-78,-88,-200,-90,-200,-86,-200,-200,-200,-68,-200,-200,-200,-200,-89,-80,-200,-200,-200,-200
1526454252861,-57,-38,-38,-59,-45,-44,-47,-49,-58,-56,-47,-54,-64,-63,-49,-57,-63,-65,-74,-62,-79,-64,-80,-73,-77,-200,-75,-48,-67,-56,-200,-73,-77,-72,-76,-66,-77,-69,-73,-50,-71,-82,-76,-59,-77,-82,-77,-200,-76,-65,-78,-76,-84,-86,-65,-74,-200,-82,-85,-67,-76,-86,-200,-62,-80,-76,-81,-86,-78,-75,-81,-84,-82,-84,-200,-88,-200,-68,-88,-79,-200,-87,-200,-85,-200,-200,-200,-200,-79,-88,-200,-200,-200,-75,-76,-78,-77,-79,-87,-86,-87,-200,-86,-200,-90,-200,-68,-200,-200,-83,-200,-89,-80,-200,-89,-200,-200
1526454255897,-57,-38,-38,-59,-45,-44,-47,-49,-58,-56,-47,-54,-64,-63,-49,-57,-63,-65,-74,-62,-79,-64,-80,-73,-77,-200,-75,-48,-67,-56,-200,-73,-77,-72,-76,-66,-77,-69,-73,-50,-71,-82,-76,-59,-77,-82,-77,-200,-76,-65,-78,-76,-84,-86,-65,-74,-200,-82,-85,-67,-76,-86,-200,-62,-80,-76,-81,-86,-78,-75,-81,-84,-82,-84,-200,-88,-200,-68,-88,-79,-200,-87,-200,-85,-200,-200,-200,-200,-79,-88,-200,-200,-200,-75,-76,-78,-77,-79,-87,-86,-87,-200,-86,-200,-90,-200,-68,-200,-200,-83,-200,-89,-80,-200,-89,-200,-200
