,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,DLINK_D02A30,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526451153961,-25,-47,-53,-55,-55,-52,-62,-59,-46,-57,-61,-58,-64,-46,-63,-63,-59,-73,-67,-67,-63,-88,-78,-74,-64,-82,-70,-73,-73,-66,-81,-200,-81,-74,-77,-78,-59,-75,-88,-81,-83,-88,-74,-73,-82,-81,-88,-83,-200,-88,-200,-73,-81,-93,-200,-91,-89,-92,-94,-76,-90,-200,-81,-94,-200,-84,-84,-89,-92,-97,-93,-200,-78,-200,-94,-87,-87,-98,-200,-200,-96,-89,-200,-83,-85,-200,-92,-200,-96,-200,-91,-200,-200,-98,-90,-200,-200,-200,-96,-95,-200,-89,-94,-97,-200,-200,-200,-200
1526451154372,-25,-47,-53,-55,-55,-52,-62,-59,-46,-57,-61,-58,-64,-46,-63,-63,-59,-73,-67,-67,-63,-88,-78,-74,-64,-82,-70,-73,-73,-66,-81,-200,-81,-74,-77,-78,-59,-75,-88,-81,-83,-88,-74,-73,-82,-81,-88,-83,-200,-88,-200,-73,-81,-93,-200,-91,-89,-92,-94,-76,-90,-200,-81,-94,-200,-84,-84,-89,-92,-97,-93,-200,-78,-200,-94,-87,-87,-98,-200,-200,-96,-89,-200,-83,-85,-200,-92,-200,-96,-200,-91,-200,-200,-98,-90,-200,-200,-200,-96,-95,-200,-89,-94,-97,-200,-200,-200,-200
1526451157015,-24,-42,-56,-58,-57,-51,-59,-60,-47,-58,-60,-60,-64,-46,-63,-63,-66,-73,-67,-71,-63,-84,-78,-79,-71,-81,-72,-74,-72,-69,-84,-200,-81,-76,-74,-78,-71,-74,-88,-81,-83,-88,-77,-76,-77,-200,-88,-79,-200,-89,-200,-73,-81,-94,-200,-90,-90,-93,-94,-76,-89,-200,-84,-95,-200,-83,-87,-89,-89,-95,-93,-200,-78,-200,-95,-85,-87,-97,-200,-200,-96,-92,-200,-84,-86,-200,-200,-200,-96,-97,-91,-200,-200,-98,-90,-200,-200,-200,-96,-95,-200,-89,-200,-98,-200,-200,-200,-200
1526451157428,-24,-42,-56,-58,-57,-51,-59,-60,-47,-58,-60,-60,-64,-46,-63,-63,-66,-73,-67,-71,-63,-84,-78,-79,-71,-81,-72,-74,-72,-69,-84,-200,-81,-76,-74,-78,-71,-74,-88,-81,-83,-88,-77,-76,-77,-200,-88,-79,-200,-89,-200,-73,-81,-94,-200,-90,-90,-93,-94,-76,-89,-200,-84,-95,-200,-83,-87,-89,-89,-95,-93,-200,-78,-200,-95,-85,-87,-97,-200,-200,-96,-92,-200,-84,-86,-200,-200,-200,-96,-97,-91,-200,-200,-98,-90,-200,-200,-200,-96,-95,-200,-89,-200,-98,-200,-200,-200,-200
1526451160066,-31,-47,-50,-56,-62,-52,-66,-59,-46,-60,-61,-57,-65,-42,-63,-62,-64,-73,-70,-61,-69,-84,-77,-72,-68,-83,-68,-73,-70,-70,-83,-200,-80,-75,-80,-78,-71,-74,-88,-86,-85,-87,-75,-72,-81,-200,-87,-79,-200,-89,-200,-77,-80,-92,-200,-88,-89,-95,-94,-77,-89,-200,-83,-95,-200,-83,-80,-93,-83,-97,-93,-200,-78,-200,-95,-89,-86,-97,-200,-200,-96,-92,-200,-84,-84,-89,-92,-200,-200,-97,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-200,-89,-200,-95,-200,-200,-200,-200
1526451160480,-31,-47,-50,-56,-62,-52,-66,-59,-46,-60,-61,-57,-65,-42,-63,-62,-64,-73,-70,-61,-69,-84,-77,-72,-68,-83,-68,-73,-70,-70,-83,-200,-80,-75,-80,-78,-71,-74,-88,-86,-85,-87,-75,-72,-81,-200,-87,-79,-200,-89,-200,-77,-80,-92,-200,-88,-89,-95,-94,-77,-89,-200,-83,-95,-200,-83,-80,-93,-83,-97,-93,-200,-78,-200,-95,-89,-86,-97,-200,-200,-96,-92,-200,-84,-84,-89,-92,-200,-200,-97,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-200,-89,-200,-95,-200,-200,-200,-200
1526451163117,-30,-49,-52,-58,-59,-58,-66,-60,-52,-76,-61,-60,-62,-46,-61,-57,-69,-74,-75,-69,-65,-82,-77,-76,-63,-81,-74,-74,-76,-76,-90,-200,-79,-69,-74,-85,-77,-76,-83,-87,-85,-87,-75,-72,-76,-200,-88,-82,-200,-200,-200,-68,-82,-92,-200,-88,-89,-95,-200,-77,-91,-200,-84,-96,-200,-84,-85,-81,-91,-94,-95,-93,-77,-200,-95,-89,-91,-92,-200,-200,-96,-92,-200,-87,-83,-89,-92,-200,-200,-97,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-200,-200,-200,-95,-89,-96,-200,-200
1526451163531,-30,-49,-52,-58,-59,-58,-66,-60,-52,-76,-61,-60,-62,-46,-61,-57,-69,-74,-75,-69,-65,-82,-77,-76,-63,-81,-74,-74,-76,-76,-90,-200,-79,-69,-74,-85,-77,-76,-83,-87,-85,-87,-75,-72,-76,-200,-88,-82,-200,-200,-200,-68,-82,-92,-200,-88,-89,-95,-200,-77,-91,-200,-84,-96,-200,-84,-85,-81,-91,-94,-95,-93,-77,-200,-95,-89,-91,-92,-200,-200,-96,-92,-200,-87,-83,-89,-92,-200,-200,-97,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-200,-200,-200,-95,-89,-96,-200,-200
1526451166168,-32,-49,-53,-53,-59,-55,-64,-59,-48,-81,-60,-59,-60,-43,-60,-62,-66,-71,-70,-75,-65,-79,-77,-78,-73,-82,-68,-74,-74,-82,-90,-200,-81,-72,-73,-85,-79,-78,-86,-87,-85,-89,-75,-200,-80,-200,-87,-82,-200,-93,-200,-71,-83,-92,-80,-88,-93,-97,-200,-74,-87,-200,-85,-96,-200,-84,-86,-81,-91,-98,-92,-95,-79,-200,-200,-88,-89,-92,-200,-95,-96,-90,-200,-87,-85,-89,-92,-200,-200,-200,-200,-96,-200,-98,-200,-94,-200,-200,-200,-200,-200,-200,-200,-95,-90,-96,-200,-200
1526451166587,-32,-49,-53,-53,-59,-55,-64,-59,-48,-81,-60,-59,-60,-43,-60,-62,-66,-71,-70,-75,-65,-79,-77,-78,-73,-82,-68,-74,-74,-82,-90,-200,-81,-72,-73,-85,-79,-78,-86,-87,-85,-89,-75,-200,-80,-200,-87,-82,-200,-93,-200,-71,-83,-92,-80,-88,-93,-97,-200,-74,-87,-200,-85,-96,-200,-84,-86,-81,-91,-98,-92,-95,-79,-200,-200,-88,-89,-92,-200,-95,-96,-90,-200,-87,-85,-89,-92,-200,-200,-200,-200,-96,-200,-98,-200,-94,-200,-200,-200,-200,-200,-200,-200,-95,-90,-96,-200,-200
1526451169219,-32,-48,-50,-54,-58,-53,-68,-64,-48,-78,-61,-59,-60,-46,-63,-61,-67,-70,-70,-75,-65,-80,-200,-76,-74,-79,-66,-72,-74,-77,-200,-200,-82,-71,-78,-86,-76,-76,-86,-84,-86,-92,-75,-200,-80,-200,-87,-79,-200,-93,-200,-74,-83,-90,-80,-90,-93,-97,-200,-77,-91,-200,-85,-96,-200,-84,-86,-200,-90,-98,-94,-95,-77,-200,-200,-89,-89,-92,-200,-95,-200,-90,-200,-200,-82,-200,-200,-200,-200,-94,-200,-96,-200,-98,-200,-94,-200,-94,-200,-200,-200,-200,-200,-99,-90,-96,-95,-200
1526451169633,-32,-48,-50,-54,-58,-53,-68,-64,-48,-78,-61,-59,-60,-46,-63,-61,-67,-70,-70,-75,-65,-80,-200,-76,-74,-79,-66,-72,-74,-77,-200,-200,-82,-71,-78,-86,-76,-76,-86,-84,-86,-92,-75,-200,-80,-200,-87,-79,-200,-93,-200,-74,-83,-90,-80,-90,-93,-97,-200,-77,-91,-200,-85,-96,-200,-84,-86,-200,-90,-98,-94,-95,-77,-200,-200,-89,-89,-92,-200,-95,-200,-90,-200,-200,-82,-200,-200,-200,-200,-94,-200,-96,-200,-98,-200,-94,-200,-94,-200,-200,-200,-200,-200,-99,-90,-96,-95,-200
1526451172269,-24,-48,-50,-55,-56,-48,-64,-58,-46,-64,-62,-59,-58,-42,-61,-64,-66,-74,-74,-73,-74,-81,-200,-75,-73,-85,-65,-76,-77,-72,-200,-200,-81,-75,-76,-81,-77,-77,-86,-83,-83,-91,-73,-200,-84,-200,-88,-82,-200,-200,-200,-73,-82,-93,-200,-92,-89,-97,-200,-77,-96,-200,-82,-95,-200,-91,-89,-200,-90,-200,-94,-95,-78,-200,-94,-89,-88,-95,-200,-200,-100,-90,-200,-200,-85,-89,-200,-200,-200,-94,-200,-200,-200,-97,-94,-94,-200,-94,-200,-200,-200,-200,-200,-99,-90,-96,-95,-95
1526451172677,-24,-48,-50,-55,-56,-48,-64,-58,-46,-64,-62,-59,-58,-42,-61,-64,-66,-74,-74,-73,-74,-81,-200,-75,-73,-85,-65,-76,-77,-72,-200,-200,-81,-75,-76,-81,-77,-77,-86,-83,-83,-91,-73,-200,-84,-200,-88,-82,-200,-200,-200,-73,-82,-93,-200,-92,-89,-97,-200,-77,-96,-200,-82,-95,-200,-91,-89,-200,-90,-200,-94,-95,-78,-200,-94,-89,-88,-95,-200,-200,-100,-90,-200,-200,-85,-89,-200,-200,-200,-94,-200,-200,-200,-97,-94,-94,-200,-94,-200,-200,-200,-200,-200,-99,-90,-96,-95,-95
