,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
1526451002598,-41,-40,-42,-58,-56,-52,-66,-61,-67,-61,-56,-67,-79,-79,-79,-73,-70,-63,-66,-67,-63,-200,-67,-77,-79,-78,-82,-83,-74,-85,-77,-81,-75,-79,-200,-76,-85,-84,-85,-83,-87,-79,-86,-95,-88,-200,-87,-79,-200,-87,-87,-87,-91,-92,-91,-200,-200,-200,-92,-200,-200,-88,-93,-92,-88,-96,-200,-200,-88,-94,-200,-93,-200,-200,-200,-98,-93,-87,-86,-89,-94,-96,-90,-96,-95,-200,-200,-200,-200,-99,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451002606,-41,-40,-42,-58,-56,-52,-66,-61,-67,-61,-56,-67,-79,-79,-79,-73,-70,-63,-66,-67,-63,-200,-67,-77,-79,-78,-82,-83,-74,-85,-77,-81,-75,-79,-200,-76,-85,-84,-85,-83,-87,-79,-86,-95,-88,-200,-87,-79,-200,-87,-87,-87,-91,-92,-91,-200,-200,-200,-92,-200,-200,-88,-93,-92,-88,-96,-200,-200,-88,-94,-200,-93,-200,-200,-200,-98,-93,-87,-86,-89,-94,-96,-90,-96,-95,-200,-200,-200,-200,-99,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451005656,-42,-41,-43,-59,-60,-50,-68,-57,-67,-62,-58,-68,-78,-79,-79,-83,-73,-63,-69,-67,-61,-200,-65,-76,-77,-74,-79,-83,-73,-85,-74,-80,-77,-85,-200,-76,-86,-84,-88,-84,-86,-79,-81,-92,-89,-200,-87,-79,-200,-88,-90,-87,-95,-92,-91,-200,-200,-93,-92,-95,-200,-90,-93,-92,-92,-97,-200,-200,-89,-91,-200,-93,-200,-200,-200,-96,-92,-87,-86,-93,-97,-96,-91,-77,-95,-200,-200,-200,-200,-99,-87,-91,-200,-55,-61,-74,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451005657,-42,-41,-43,-59,-60,-50,-68,-57,-67,-62,-58,-68,-78,-79,-79,-83,-73,-63,-69,-67,-61,-200,-65,-76,-77,-74,-79,-83,-73,-85,-74,-80,-77,-85,-200,-76,-86,-84,-88,-84,-86,-79,-81,-92,-89,-200,-87,-79,-200,-88,-90,-87,-95,-92,-91,-200,-200,-93,-92,-95,-200,-90,-93,-92,-92,-97,-200,-200,-89,-91,-200,-93,-200,-200,-200,-96,-92,-87,-86,-93,-97,-96,-91,-77,-95,-200,-200,-200,-200,-99,-87,-91,-200,-55,-61,-74,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451008714,-42,-41,-43,-56,-58,-51,-65,-63,-78,-62,-57,-64,-77,-76,-79,-75,-73,-59,-66,-66,-61,-200,-67,-76,-79,-78,-81,-85,-73,-86,-75,-80,-76,-81,-200,-83,-84,-88,-86,-83,-86,-81,-81,-91,-89,-86,-84,-78,-200,-87,-90,-86,-91,-92,-92,-200,-200,-96,-91,-95,-200,-89,-93,-93,-91,-93,-200,-200,-89,-89,-200,-92,-200,-200,-200,-96,-92,-200,-84,-91,-97,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-91,-200,-56,-81,-75,-86,-95,-33,-49,-52,-60,-67,-70,-71,-83,-83,-89,-90,-95,-95,-95,-200
1526451008718,-42,-41,-43,-56,-58,-51,-65,-63,-78,-62,-57,-64,-77,-76,-79,-75,-73,-59,-66,-66,-61,-200,-67,-76,-79,-78,-81,-85,-73,-86,-75,-80,-76,-81,-200,-83,-84,-88,-86,-83,-86,-81,-81,-91,-89,-86,-84,-78,-200,-87,-90,-86,-91,-92,-92,-200,-200,-96,-91,-95,-200,-89,-93,-93,-91,-93,-200,-200,-89,-89,-200,-92,-200,-200,-200,-96,-92,-200,-84,-91,-97,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-91,-200,-56,-81,-75,-86,-95,-33,-49,-52,-60,-67,-70,-71,-83,-83,-89,-90,-95,-95,-95,-200
1526451011774,-42,-40,-44,-56,-60,-49,-65,-61,-68,-61,-56,-68,-78,-75,-80,-75,-73,-61,-65,-67,-62,-200,-67,-76,-82,-76,-81,-80,-72,-86,-71,-83,-75,-76,-86,-81,-86,-87,-87,-83,-86,-81,-81,-93,-200,-86,-84,-81,-200,-87,-91,-90,-92,-200,-92,-200,-200,-95,-89,-200,-200,-90,-89,-91,-91,-93,-200,-200,-89,-93,-200,-93,-200,-200,-200,-200,-200,-200,-85,-91,-200,-200,-92,-96,-200,-200,-200,-98,-200,-200,-200,-200,-200,-55,-78,-74,-77,-89,-33,-57,-54,-56,-66,-72,-72,-82,-83,-93,-91,-95,-95,-95,-200
1526451011783,-42,-40,-44,-56,-60,-49,-65,-61,-68,-61,-56,-68,-78,-75,-80,-75,-73,-61,-65,-67,-62,-200,-67,-76,-82,-76,-81,-80,-72,-86,-71,-83,-75,-76,-86,-81,-86,-87,-87,-83,-86,-81,-81,-93,-200,-86,-84,-81,-200,-87,-91,-90,-92,-200,-92,-200,-200,-95,-89,-200,-200,-90,-89,-91,-91,-93,-200,-200,-89,-93,-200,-93,-200,-200,-200,-200,-200,-200,-85,-91,-200,-200,-92,-96,-200,-200,-200,-98,-200,-200,-200,-200,-200,-55,-78,-74,-77,-89,-33,-57,-54,-56,-66,-72,-72,-82,-83,-93,-91,-95,-95,-95,-200
1526451014824,-42,-42,-44,-58,-60,-49,-67,-61,-66,-61,-57,-67,-78,-76,-80,-75,-70,-59,-66,-65,-61,-200,-65,-78,-78,-84,-77,-85,-72,-85,-71,-80,-74,-77,-86,-83,-84,-85,-89,-83,-87,-81,-200,-93,-200,-200,-85,-80,-200,-87,-89,-87,-93,-200,-92,-200,-200,-96,-89,-200,-200,-89,-89,-91,-90,-200,-200,-200,-91,-90,-200,-92,-200,-200,-200,-94,-200,-200,-85,-91,-200,-97,-92,-96,-200,-200,-200,-98,-200,-98,-200,-91,-200,-58,-80,-76,-77,-90,-32,-51,-52,-54,-61,-69,-64,-86,-84,-76,-90,-200,-200,-94,-200
1526451014833,-42,-42,-44,-58,-60,-49,-67,-61,-66,-61,-57,-67,-78,-76,-80,-75,-70,-59,-66,-65,-61,-200,-65,-78,-78,-84,-77,-85,-72,-85,-71,-80,-74,-77,-86,-83,-84,-85,-89,-83,-87,-81,-200,-93,-200,-200,-85,-80,-200,-87,-89,-87,-93,-200,-92,-200,-200,-96,-89,-200,-200,-89,-89,-91,-90,-200,-200,-200,-91,-90,-200,-92,-200,-200,-200,-94,-200,-200,-85,-91,-200,-97,-92,-96,-200,-200,-200,-98,-200,-98,-200,-91,-200,-58,-80,-76,-77,-90,-32,-51,-52,-54,-61,-69,-64,-86,-84,-76,-90,-200,-200,-94,-200
1526451017879,-43,-43,-42,-55,-52,-50,-66,-61,-66,-62,-57,-67,-78,-76,-80,-78,-70,-59,-67,-68,-63,-200,-67,-78,-78,-84,-77,-80,-78,-85,-76,-81,-77,-76,-86,-83,-86,-91,-89,-83,-86,-81,-84,-93,-87,-200,-83,-78,-200,-89,-89,-86,-93,-97,-91,-200,-200,-96,-90,-200,-200,-90,-200,-93,-90,-200,-200,-200,-91,-92,-200,-92,-200,-200,-200,-94,-200,-200,-85,-91,-200,-97,-200,-96,-200,-200,-200,-200,-200,-79,-200,-91,-200,-56,-76,-76,-77,-92,-33,-53,-54,-58,-70,-71,-73,-86,-84,-90,-79,-200,-200,-93,-93
1526451017890,-43,-43,-42,-55,-52,-50,-66,-61,-66,-62,-57,-67,-78,-76,-80,-78,-70,-59,-67,-68,-63,-200,-67,-78,-78,-84,-77,-80,-78,-85,-76,-81,-77,-76,-86,-83,-86,-91,-89,-83,-86,-81,-84,-93,-87,-200,-83,-78,-200,-89,-89,-86,-93,-97,-91,-200,-200,-96,-90,-200,-200,-90,-200,-93,-90,-200,-200,-200,-91,-92,-200,-92,-200,-200,-200,-94,-200,-200,-85,-91,-200,-97,-200,-96,-200,-200,-200,-200,-200,-79,-200,-91,-200,-56,-76,-76,-77,-92,-33,-53,-54,-58,-70,-71,-73,-86,-84,-90,-79,-200,-200,-93,-93
1526451020932,-35,-42,-43,-58,-52,-51,-64,-62,-64,-63,-56,-63,-78,-76,-75,-74,-70,-62,-65,-68,-65,-92,-66,-76,-78,-80,-200,-83,-73,-86,-78,-77,-80,-84,-200,-83,-81,-88,-84,-80,-85,-80,-84,-89,-90,-200,-88,-80,-200,-86,-91,-87,-90,-96,-90,-200,-200,-200,-89,-200,-200,-90,-90,-91,-90,-200,-200,-200,-88,-92,-200,-91,-200,-200,-200,-94,-92,-200,-84,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-98,-200,-95,-200,-56,-79,-74,-77,-88,-34,-49,-52,-61,-67,-71,-66,-80,-200,-90,-88,-200,-200,-93,-93
1526451020943,-35,-42,-43,-58,-52,-51,-64,-62,-64,-63,-56,-63,-78,-76,-75,-74,-70,-62,-65,-68,-65,-92,-66,-76,-78,-80,-200,-83,-73,-86,-78,-77,-80,-84,-200,-83,-81,-88,-84,-80,-85,-80,-84,-89,-90,-200,-88,-80,-200,-86,-91,-87,-90,-96,-90,-200,-200,-200,-89,-200,-200,-90,-90,-91,-90,-200,-200,-200,-88,-92,-200,-91,-200,-200,-200,-94,-92,-200,-84,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-98,-200,-95,-200,-56,-79,-74,-77,-88,-34,-49,-52,-61,-67,-71,-66,-80,-200,-90,-88,-200,-200,-93,-93
1526451023997,-40,-43,-44,-57,-53,-51,-66,-61,-65,-61,-51,-58,-80,-76,-80,-79,-72,-64,-71,-64,-63,-92,-65,-81,-77,-80,-79,-81,-71,-84,-73,-79,-76,-85,-200,-83,-84,-83,-89,-78,-87,-81,-85,-89,-91,-200,-81,-79,-200,-87,-93,-86,-93,-96,-90,-200,-200,-200,-89,-95,-200,-90,-92,-92,-91,-200,-200,-200,-89,-92,-96,-92,-200,-200,-200,-94,-95,-200,-85,-200,-200,-200,-200,-97,-200,-90,-95,-200,-200,-97,-200,-95,-200,-57,-82,-80,-84,-91,-34,-51,-56,-60,-67,-73,-66,-82,-200,-88,-93,-200,-200,-94,-93
1526451023997,-40,-43,-44,-57,-53,-51,-66,-61,-65,-61,-51,-58,-80,-76,-80,-79,-72,-64,-71,-64,-63,-92,-65,-81,-77,-80,-79,-81,-71,-84,-73,-79,-76,-85,-200,-83,-84,-83,-89,-78,-87,-81,-85,-89,-91,-200,-81,-79,-200,-87,-93,-86,-93,-96,-90,-200,-200,-200,-89,-95,-200,-90,-92,-92,-91,-200,-200,-200,-89,-92,-96,-92,-200,-200,-200,-94,-95,-200,-85,-200,-200,-200,-200,-97,-200,-90,-95,-200,-200,-97,-200,-95,-200,-57,-82,-80,-84,-91,-34,-51,-56,-60,-67,-73,-66,-82,-200,-88,-93,-200,-200,-94,-93
