,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526463115717,-30,-40,-25,-41,-51,-51,-50,-54,-49,-54,-52,-44,-45,-43,-45,-59,-52,-60,-62,-63,-67,-61,-65,-200,-57,-66,-75,-79,-63,-200,-77,-64,-59,-66,-200,-74,-77,-64,-72,-58,-200,-67,-72,-77,-87,-200,-200,-80,-200,-74,-84,-76,-79,-84,-81,-81,-80,-200,-91,-85,-83,-68,-84,-200,-200,-85,-82,-91,-76,-84,-89,-86,-88,-80,-200,-87,-80,-200,-83,-86,-200,-75,-77,-200,-200,-87,-82,-83,-68,-88,-90,-70,-69,-88,-70,-84,-86,-88,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463118434,-31,-40,-25,-45,-51,-60,-51,-47,-49,-54,-51,-46,-43,-39,-45,-56,-52,-63,-59,-63,-67,-57,-66,-200,-59,-66,-74,-78,-59,-83,-78,-66,-60,-66,-72,-75,-77,-65,-72,-59,-200,-66,-80,-76,-87,-200,-200,-81,-80,-74,-200,-78,-79,-84,-81,-80,-80,-200,-91,-79,-83,-61,-84,-80,-200,-85,-81,-79,-74,-200,-89,-86,-200,-80,-200,-87,-80,-200,-84,-86,-200,-74,-73,-200,-81,-88,-77,-200,-68,-88,-90,-70,-74,-88,-70,-84,-88,-88,-88,-91,-78,-83,-83,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463118734,-31,-40,-25,-45,-51,-60,-51,-47,-49,-54,-51,-46,-43,-39,-45,-56,-52,-63,-59,-63,-67,-57,-66,-200,-59,-66,-74,-78,-59,-83,-78,-66,-60,-66,-72,-75,-77,-65,-72,-59,-200,-66,-80,-76,-87,-200,-200,-81,-80,-74,-200,-78,-79,-84,-81,-80,-80,-200,-91,-79,-83,-61,-84,-80,-200,-85,-81,-79,-74,-200,-89,-86,-200,-80,-200,-87,-80,-200,-84,-86,-200,-74,-73,-200,-81,-88,-77,-200,-68,-88,-90,-70,-74,-88,-70,-84,-88,-88,-88,-91,-78,-83,-83,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463121477,-26,-41,-26,-41,-50,-60,-51,-53,-49,-60,-49,-45,-45,-38,-45,-61,-51,-63,-63,-63,-62,-56,-65,-200,-59,-66,-77,-77,-59,-83,-77,-65,-60,-67,-72,-70,-75,-65,-70,-58,-81,-64,-73,-76,-87,-200,-200,-80,-80,-73,-200,-78,-80,-84,-81,-80,-80,-200,-90,-79,-83,-67,-84,-81,-200,-85,-81,-79,-72,-200,-89,-86,-200,-80,-200,-86,-80,-200,-84,-86,-200,-74,-73,-200,-81,-88,-77,-200,-200,-84,-200,-74,-74,-88,-70,-85,-88,-88,-88,-91,-78,-83,-85,-70,-90,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463121777,-26,-41,-26,-41,-50,-60,-51,-53,-49,-60,-49,-45,-45,-38,-45,-61,-51,-63,-63,-63,-62,-56,-65,-200,-59,-66,-77,-77,-59,-83,-77,-65,-60,-67,-72,-70,-75,-65,-70,-58,-81,-64,-73,-76,-87,-200,-200,-80,-80,-73,-200,-78,-80,-84,-81,-80,-80,-200,-90,-79,-83,-67,-84,-81,-200,-85,-81,-79,-72,-200,-89,-86,-200,-80,-200,-86,-80,-200,-84,-86,-200,-74,-73,-200,-81,-88,-77,-200,-200,-84,-200,-74,-74,-88,-70,-85,-88,-88,-88,-91,-78,-83,-85,-70,-90,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463124524,-33,-39,-26,-44,-50,-60,-50,-56,-49,-54,-51,-46,-44,-39,-46,-61,-51,-63,-58,-63,-62,-60,-62,-200,-58,-65,-76,-79,-60,-83,-79,-65,-60,-66,-72,-70,-75,-65,-70,-59,-81,-70,-73,-76,-87,-76,-200,-83,-80,-73,-200,-70,-79,-84,-200,-80,-80,-200,-90,-79,-83,-67,-200,-81,-200,-200,-81,-79,-72,-200,-89,-86,-200,-80,-200,-86,-80,-200,-84,-86,-200,-73,-73,-200,-81,-87,-77,-200,-72,-78,-200,-74,-74,-200,-70,-85,-86,-88,-88,-91,-78,-83,-85,-70,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463124826,-33,-39,-26,-44,-50,-60,-50,-56,-49,-54,-51,-46,-44,-39,-46,-61,-51,-63,-58,-63,-62,-60,-62,-200,-58,-65,-76,-79,-60,-83,-79,-65,-60,-66,-72,-70,-75,-65,-70,-59,-81,-70,-73,-76,-87,-76,-200,-83,-80,-73,-200,-70,-79,-84,-200,-80,-80,-200,-90,-79,-83,-67,-200,-81,-200,-200,-81,-79,-72,-200,-89,-86,-200,-80,-200,-86,-80,-200,-84,-86,-200,-73,-73,-200,-81,-87,-77,-200,-72,-78,-200,-74,-74,-200,-70,-85,-86,-88,-88,-91,-78,-83,-85,-70,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463127541,-31,-41,-30,-44,-50,-59,-51,-53,-49,-48,-51,-46,-43,-43,-45,-61,-50,-64,-62,-63,-62,-57,-67,-200,-43,-66,-76,-80,-60,-83,-78,-63,-58,-66,-72,-76,-75,-63,-70,-59,-72,-68,-72,-73,-200,-76,-200,-82,-80,-73,-200,-70,-79,-200,-200,-80,-200,-200,-92,-79,-200,-68,-200,-80,-200,-200,-81,-79,-73,-83,-88,-200,-200,-82,-200,-86,-200,-200,-84,-86,-200,-73,-73,-200,-82,-87,-77,-200,-72,-78,-200,-74,-74,-200,-200,-85,-86,-200,-200,-200,-78,-83,-85,-70,-90,-82,-89,-76,-76,-80,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463127867,-31,-41,-30,-44,-50,-59,-51,-53,-49,-48,-51,-46,-43,-43,-45,-61,-50,-64,-62,-63,-62,-57,-67,-200,-43,-66,-76,-80,-60,-83,-78,-63,-58,-66,-72,-76,-75,-63,-70,-59,-72,-68,-72,-73,-200,-76,-200,-82,-80,-73,-200,-70,-79,-200,-200,-80,-200,-200,-92,-79,-200,-68,-200,-80,-200,-200,-81,-79,-73,-83,-88,-200,-200,-82,-200,-86,-200,-200,-84,-86,-200,-73,-73,-200,-82,-87,-77,-200,-72,-78,-200,-74,-74,-200,-200,-85,-86,-200,-200,-200,-78,-83,-85,-70,-90,-82,-89,-76,-76,-80,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463130552,-32,-41,-27,-44,-47,-61,-51,-53,-50,-54,-51,-46,-44,-39,-46,-60,-50,-60,-62,-63,-59,-54,-67,-200,-53,-66,-76,-79,-62,-87,-77,-65,-51,-66,-72,-76,-78,-63,-76,-57,-72,-71,-72,-76,-200,-76,-200,-80,-200,-78,-200,-70,-79,-200,-81,-200,-80,-200,-92,-86,-200,-68,-80,-80,-200,-200,-200,-74,-75,-88,-89,-200,-200,-73,-200,-200,-81,-200,-200,-86,-200,-76,-72,-89,-84,-88,-200,-200,-72,-78,-200,-200,-200,-89,-200,-200,-86,-91,-200,-200,-82,-200,-82,-200,-200,-82,-89,-82,-76,-70,-86,-89,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526463130911,-32,-41,-27,-44,-47,-61,-51,-53,-50,-54,-51,-46,-44,-39,-46,-60,-50,-60,-62,-63,-59,-54,-67,-200,-53,-66,-76,-79,-62,-87,-77,-65,-51,-66,-72,-76,-78,-63,-76,-57,-72,-71,-72,-76,-200,-76,-200,-80,-200,-78,-200,-70,-79,-200,-81,-200,-80,-200,-92,-86,-200,-68,-80,-80,-200,-200,-200,-74,-75,-88,-89,-200,-200,-73,-200,-200,-81,-200,-200,-86,-200,-76,-72,-89,-84,-88,-200,-200,-72,-78,-200,-200,-200,-89,-200,-200,-86,-91,-200,-200,-82,-200,-82,-200,-200,-82,-89,-82,-76,-70,-86,-89,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526463133589,-33,-41,-28,-40,-50,-62,-51,-56,-48,-54,-48,-46,-43,-43,-45,-60,-50,-64,-62,-63,-59,-54,-67,-79,-60,-66,-76,-79,-62,-87,-78,-55,-51,-65,-72,-72,-78,-63,-77,-55,-72,-66,-72,-77,-200,-200,-200,-82,-200,-74,-200,-70,-79,-200,-79,-200,-80,-200,-90,-78,-200,-68,-80,-79,-200,-200,-200,-74,-74,-83,-91,-200,-77,-72,-200,-200,-81,-200,-200,-86,-200,-76,-77,-89,-82,-87,-200,-200,-200,-200,-200,-72,-200,-89,-200,-200,-200,-91,-200,-200,-81,-200,-82,-200,-200,-83,-200,-75,-76,-70,-86,-89,-80,-87,-77,-81,-200,-200,-200,-200,-200,-200
1526463133956,-33,-41,-28,-40,-50,-62,-51,-56,-48,-54,-48,-46,-43,-43,-45,-60,-50,-64,-62,-63,-59,-54,-67,-79,-60,-66,-76,-79,-62,-87,-78,-55,-51,-65,-72,-72,-78,-63,-77,-55,-72,-66,-72,-77,-200,-200,-200,-82,-200,-74,-200,-70,-79,-200,-79,-200,-80,-200,-90,-78,-200,-68,-80,-79,-200,-200,-200,-74,-74,-83,-91,-200,-77,-72,-200,-200,-81,-200,-200,-86,-200,-76,-77,-89,-82,-87,-200,-200,-200,-200,-200,-72,-200,-89,-200,-200,-200,-91,-200,-200,-81,-200,-82,-200,-200,-83,-200,-75,-76,-70,-86,-89,-80,-87,-77,-81,-200,-200,-200,-200,-200,-200
1526463136632,-31,-40,-29,-41,-50,-61,-51,-53,-49,-55,-51,-43,-41,-37,-46,-62,-50,-64,-58,-63,-59,-54,-67,-83,-60,-200,-76,-80,-61,-87,-78,-64,-57,-65,-72,-79,-71,-64,-93,-56,-200,-71,-72,-76,-200,-200,-200,-82,-200,-77,-200,-70,-79,-200,-79,-200,-80,-200,-91,-78,-80,-68,-80,-79,-200,-200,-200,-80,-75,-81,-91,-200,-77,-72,-200,-200,-81,-200,-200,-86,-200,-76,-77,-89,-82,-87,-200,-200,-200,-86,-200,-72,-200,-89,-200,-200,-200,-91,-200,-200,-81,-200,-82,-200,-200,-81,-200,-75,-75,-70,-200,-89,-80,-87,-77,-81,-200,-200,-200,-200,-200,-200
