,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454428033,-33,-40,-51,-47,-53,-45,-53,-52,-53,-72,-49,-60,-61,-71,-59,-51,-77,-62,-60,-68,-61,-79,-51,-70,-67,-73,-73,-74,-63,-72,-79,-59,-77,-75,-75,-72,-76,-82,-200,-83,-74,-79,-70,-70,-79,-70,-82,-80,-68,-200,-77,-200,-80,-83,-83,-81,-81,-87,-200,-200,-89,-80,-71,-74,-200,-82,-200,-200,-73,-83,-88,-88,-200,-86,-200,-86,-87,-91,-84,-88,-81,-200,-88,-91,-90,-200,-200,-90,-200,-91,-83,-96,-87,-72,-74,-200,-200,-200,-89,-200,-200,-86,-200,-90,-200,-79,-200,-84,-200,-90,-200,-93,-84,-90,-90,-200,-200,-200
1526454430719,-15,-40,-60,-45,-57,-44,-61,-52,-51,-72,-51,-72,-65,-70,-56,-61,-75,-69,-63,-65,-73,-76,-56,-68,-81,-80,-74,-74,-63,-79,-79,-59,-77,-75,-75,-73,-74,-84,-200,-83,-74,-79,-78,-71,-78,-70,-82,-75,-70,-69,-77,-84,-78,-83,-81,-81,-81,-87,-200,-200,-89,-82,-71,-74,-200,-85,-200,-200,-88,-83,-88,-88,-200,-86,-200,-86,-84,-85,-84,-88,-79,-200,-88,-200,-90,-200,-200,-90,-200,-91,-83,-96,-87,-72,-74,-200,-92,-200,-89,-200,-200,-85,-200,-90,-200,-79,-200,-84,-200,-90,-200,-200,-84,-90,-90,-200,-200,-200
1526454431074,-15,-40,-60,-45,-57,-44,-61,-52,-51,-72,-51,-72,-65,-70,-56,-61,-75,-69,-63,-65,-73,-76,-56,-68,-81,-80,-74,-74,-63,-79,-79,-59,-77,-75,-75,-73,-74,-84,-200,-83,-74,-79,-78,-71,-78,-70,-82,-75,-70,-69,-77,-84,-78,-83,-81,-81,-81,-87,-200,-200,-89,-82,-71,-74,-200,-85,-200,-200,-88,-83,-88,-88,-200,-86,-200,-86,-84,-85,-84,-88,-79,-200,-88,-200,-90,-200,-200,-90,-200,-91,-83,-96,-87,-72,-74,-200,-92,-200,-89,-200,-200,-85,-200,-90,-200,-79,-200,-84,-200,-90,-200,-200,-84,-90,-90,-200,-200,-200
1526454433756,-32,-37,-47,-48,-56,-43,-52,-51,-53,-71,-48,-59,-71,-70,-56,-53,-74,-62,-63,-69,-58,-76,-52,-68,-68,-77,-73,-75,-67,-79,-78,-68,-69,-75,-80,-74,-75,-79,-200,-82,-75,-79,-78,-70,-79,-71,-82,-82,-70,-69,-77,-82,-80,-82,-81,-81,-81,-200,-200,-85,-89,-80,-71,-74,-200,-83,-200,-200,-74,-82,-88,-88,-200,-85,-200,-86,-85,-87,-84,-82,-79,-200,-88,-200,-90,-200,-200,-90,-200,-91,-83,-96,-87,-72,-74,-200,-92,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200,-200,-89,-200,-200
1526454434121,-32,-37,-47,-48,-56,-43,-52,-51,-53,-71,-48,-59,-71,-70,-56,-53,-74,-62,-63,-69,-58,-76,-52,-68,-68,-77,-73,-75,-67,-79,-78,-68,-69,-75,-80,-74,-75,-79,-200,-82,-75,-79,-78,-70,-79,-71,-82,-82,-70,-69,-77,-82,-80,-82,-81,-81,-81,-200,-200,-85,-89,-80,-71,-74,-200,-83,-200,-200,-74,-82,-88,-88,-200,-85,-200,-86,-85,-87,-84,-82,-79,-200,-88,-200,-90,-200,-200,-90,-200,-91,-83,-96,-87,-72,-74,-200,-92,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200,-200,-89,-200,-200
1526454436802,-16,-40,-53,-48,-58,-43,-65,-52,-53,-71,-50,-60,-77,-70,-54,-50,-77,-88,-62,-66,-73,-76,-52,-69,-68,-87,-73,-76,-63,-79,-78,-74,-69,-75,-76,-76,-75,-85,-200,-84,-75,-200,-78,-70,-80,-73,-82,-80,-70,-68,-77,-82,-79,-82,-81,-83,-89,-200,-200,-89,-89,-86,-68,-74,-200,-86,-200,-200,-75,-81,-88,-88,-200,-87,-200,-86,-85,-84,-87,-82,-77,-200,-200,-200,-200,-200,-200,-90,-200,-88,-85,-200,-87,-72,-76,-200,-91,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526454437168,-16,-40,-53,-48,-58,-43,-65,-52,-53,-71,-50,-60,-77,-70,-54,-50,-77,-88,-62,-66,-73,-76,-52,-69,-68,-87,-73,-76,-63,-79,-78,-74,-69,-75,-76,-76,-75,-85,-200,-84,-75,-200,-78,-70,-80,-73,-82,-80,-70,-68,-77,-82,-79,-82,-81,-83,-89,-200,-200,-89,-89,-86,-68,-74,-200,-86,-200,-200,-75,-81,-88,-88,-200,-87,-200,-86,-85,-84,-87,-82,-77,-200,-200,-200,-200,-200,-200,-90,-200,-88,-85,-200,-87,-72,-76,-200,-91,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526454439842,-31,-39,-53,-49,-61,-48,-55,-52,-53,-70,-48,-59,-66,-70,-58,-53,-75,-63,-64,-69,-58,-76,-50,-70,-68,-75,-73,-79,-67,-67,-79,-68,-66,-200,-76,-76,-74,-85,-200,-84,-72,-200,-67,-70,-80,-73,-83,-81,-69,-68,-200,-91,-80,-82,-80,-82,-89,-200,-91,-89,-200,-86,-72,-75,-200,-83,-200,-200,-75,-82,-88,-200,-200,-84,-200,-200,-87,-84,-87,-81,-79,-200,-200,-200,-90,-88,-200,-89,-200,-89,-85,-91,-87,-200,-76,-83,-91,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-72,-200,-200,-89,-200,-200
1526454440180,-34,-38,-60,-48,-57,-50,-63,-52,-54,-71,-50,-59,-80,-79,-59,-53,-76,-63,-57,-70,-61,-76,-59,-70,-67,-90,-72,-79,-74,-67,-79,-74,-66,-200,-77,-74,-76,-85,-200,-84,-72,-80,-67,-70,-79,-73,-83,-79,-73,-69,-200,-91,-80,-83,-83,-82,-89,-200,-91,-84,-88,-90,-69,-76,-200,-83,-200,-200,-76,-81,-88,-200,-200,-87,-200,-200,-87,-84,-87,-82,-78,-200,-200,-200,-91,-88,-200,-89,-200,-89,-85,-91,-87,-200,-76,-83,-91,-200,-200,-200,-91,-87,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-72,-200,-200,-89,-200,-200
1526454442885,-32,-36,-52,-45,-57,-46,-53,-50,-51,-71,-49,-61,-67,-68,-55,-54,-75,-63,-63,-69,-55,-79,-50,-72,-64,-70,-74,-75,-65,-71,-79,-69,-68,-200,-77,-75,-75,-83,-200,-81,-74,-77,-67,-70,-79,-73,-81,-80,-73,-69,-76,-84,-76,-83,-82,-82,-81,-82,-91,-84,-88,-82,-74,-76,-88,-83,-200,-200,-76,-81,-88,-200,-88,-87,-200,-85,-87,-83,-87,-82,-78,-200,-200,-200,-88,-88,-200,-90,-200,-89,-85,-91,-87,-200,-76,-81,-91,-200,-200,-200,-91,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526454443217,-32,-36,-52,-45,-57,-46,-53,-50,-51,-71,-49,-61,-67,-68,-55,-54,-75,-63,-63,-69,-55,-79,-50,-72,-64,-70,-74,-75,-65,-71,-79,-69,-68,-200,-77,-75,-75,-83,-200,-81,-74,-77,-67,-70,-79,-73,-81,-80,-73,-69,-76,-84,-76,-83,-82,-82,-81,-82,-91,-84,-88,-82,-74,-76,-88,-83,-200,-200,-76,-81,-88,-200,-88,-87,-200,-85,-87,-83,-87,-82,-78,-200,-200,-200,-88,-88,-200,-90,-200,-89,-85,-91,-87,-200,-76,-81,-91,-200,-200,-200,-91,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526454445933,-37,-39,-61,-57,-57,-44,-61,-51,-52,-71,-49,-61,-70,-72,-54,-62,-83,-61,-71,-67,-64,-78,-61,-70,-75,-70,-72,-75,-72,-71,-79,-69,-68,-200,-79,-73,-74,-88,-200,-81,-83,-77,-83,-70,-79,-79,-81,-80,-73,-69,-76,-84,-75,-83,-84,-81,-81,-86,-91,-84,-88,-82,-70,-75,-95,-83,-200,-200,-76,-81,-200,-91,-88,-87,-200,-85,-85,-85,-200,-82,-78,-200,-200,-200,-88,-88,-200,-90,-200,-90,-200,-91,-87,-200,-74,-81,-91,-200,-91,-200,-91,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-90,-72,-200,-200,-200,-90,-200
1526454446265,-37,-39,-61,-57,-57,-44,-61,-51,-52,-71,-49,-61,-70,-72,-54,-62,-83,-61,-71,-67,-64,-78,-61,-70,-75,-70,-72,-75,-72,-71,-79,-69,-68,-200,-79,-73,-74,-88,-200,-81,-83,-77,-83,-70,-79,-79,-81,-80,-73,-69,-76,-84,-75,-83,-84,-81,-81,-86,-91,-84,-88,-82,-70,-75,-95,-83,-200,-200,-76,-81,-200,-91,-88,-87,-200,-85,-85,-85,-200,-82,-78,-200,-200,-200,-88,-88,-200,-90,-200,-90,-200,-91,-87,-200,-74,-81,-91,-200,-91,-200,-91,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-90,-72,-200,-200,-200,-90,-200
1526454448981,-30,-39,-53,-48,-56,-50,-54,-51,-53,-72,-47,-61,-72,-72,-59,-53,-76,-62,-62,-68,-62,-78,-52,-68,-67,-76,-74,-74,-64,-71,-80,-69,-67,-200,-80,-76,-75,-88,-200,-84,-74,-77,-83,-72,-79,-65,-81,-79,-69,-70,-76,-84,-78,-83,-86,-83,-81,-81,-90,-84,-91,-82,-69,-75,-95,-85,-200,-200,-76,-82,-88,-91,-88,-85,-88,-85,-85,-90,-85,-82,-78,-200,-200,-200,-88,-88,-200,-92,-200,-90,-86,-200,-200,-73,-76,-81,-91,-200,-91,-200,-91,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-89,-200,-90,-90
1526454449315,-30,-39,-53,-48,-56,-50,-54,-51,-53,-72,-47,-61,-72,-72,-59,-53,-76,-62,-62,-68,-62,-78,-52,-68,-67,-76,-74,-74,-64,-71,-80,-69,-67,-200,-80,-76,-75,-88,-200,-84,-74,-77,-83,-72,-79,-65,-81,-79,-69,-70,-76,-84,-78,-83,-86,-83,-81,-81,-90,-84,-91,-82,-69,-75,-95,-85,-200,-200,-76,-82,-88,-91,-88,-85,-88,-85,-85,-90,-85,-82,-78,-200,-200,-200,-88,-88,-200,-92,-200,-90,-86,-200,-200,-73,-76,-81,-91,-200,-91,-200,-91,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-89,-200,-90,-90
1526454452017,-15,-41,-67,-47,-57,-45,-54,-52,-54,-72,-50,-60,-67,-77,-55,-54,-76,-62,-62,-69,-71,-78,-54,-68,-75,-77,-73,-74,-66,-71,-80,-68,-67,-200,-81,-74,-74,-83,-200,-82,-74,-77,-83,-71,-80,-71,-82,-77,-71,-72,-76,-83,-77,-83,-80,-85,-81,-81,-90,-86,-88,-83,-69,-75,-95,-87,-200,-200,-200,-81,-86,-90,-88,-87,-88,-84,-85,-88,-85,-74,-200,-200,-200,-200,-88,-200,-200,-92,-200,-90,-86,-200,-89,-73,-76,-81,-91,-200,-91,-200,-92,-89,-200,-89,-200,-200,-200,-86,-200,-200,-200,-90,-200,-200,-89,-200,-90,-90
1526454452346,-15,-41,-67,-47,-57,-45,-54,-52,-54,-72,-50,-60,-67,-77,-55,-54,-76,-62,-62,-69,-71,-78,-54,-68,-75,-77,-73,-74,-66,-71,-80,-68,-67,-200,-81,-74,-74,-83,-200,-82,-74,-77,-83,-71,-80,-71,-82,-77,-71,-72,-76,-83,-77,-83,-80,-85,-81,-81,-90,-86,-88,-83,-69,-75,-95,-87,-200,-200,-200,-81,-86,-90,-88,-87,-88,-84,-85,-88,-85,-74,-200,-200,-200,-200,-88,-200,-200,-92,-200,-90,-86,-200,-89,-73,-76,-81,-91,-200,-91,-200,-92,-89,-200,-89,-200,-200,-200,-86,-200,-200,-200,-90,-200,-200,-89,-200,-90,-90
