,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455044827,-37,-25,-35,-62,-45,-41,-53,-46,-52,-47,-52,-55,-53,-58,-64,-55,-61,-54,-62,-61,-62,-49,-65,-65,-69,-71,-72,-64,-69,-67,-69,-57,-49,-65,-79,-60,-73,-64,-63,-73,-74,-77,-200,-200,-75,-200,-76,-74,-76,-74,-200,-200,-79,-63,-78,-80,-72,-76,-74,-84,-84,-88,-76,-72,-86,-200,-85,-80,-73,-83,-74,-80,-86,-200,-200,-85,-200,-82,-90,-200,-92,-83,-200,-90,-89,-200,-200,-200,-200,-200,-84,-90,-200,-84,-87,-91,-200,-86,-90,-91,-200,-88,-90,-200,-200,-200,-200,-200,-200,-89,-200,-200,-74,-74,-87,-78,-200,-200
1526455047455,-37,-16,-22,-55,-48,-50,-60,-77,-52,-47,-52,-53,-62,-67,-63,-54,-61,-55,-63,-62,-65,-61,-65,-65,-73,-71,-71,-72,-68,-67,-69,-58,-65,-65,-73,-72,-74,-71,-69,-72,-75,-77,-200,-200,-74,-200,-76,-74,-84,-76,-200,-200,-79,-65,-76,-80,-88,-77,-70,-79,-74,-88,-77,-87,-86,-200,-77,-80,-79,-83,-75,-78,-86,-200,-200,-85,-200,-82,-90,-84,-90,-200,-200,-90,-89,-200,-200,-200,-200,-200,-84,-89,-86,-85,-87,-89,-200,-86,-90,-200,-200,-88,-90,-93,-200,-200,-200,-200,-200,-89,-200,-200,-74,-74,-87,-78,-200,-200
1526455047838,-38,-26,-36,-48,-48,-42,-51,-45,-52,-49,-54,-52,-58,-49,-68,-54,-60,-55,-60,-61,-56,-55,-64,-65,-73,-71,-70,-70,-70,-200,-69,-58,-60,-63,-78,-63,-74,-61,-61,-73,-75,-76,-75,-200,-74,-200,-75,-76,-84,-77,-200,-200,-76,-62,-77,-80,-71,-78,-71,-79,-74,-88,-73,-87,-200,-200,-77,-80,-81,-85,-78,-78,-84,-200,-200,-85,-88,-82,-89,-84,-88,-200,-90,-90,-200,-200,-200,-200,-200,-68,-83,-89,-86,-85,-87,-89,-89,-86,-200,-200,-82,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-78,-200,-200
1526455050500,-40,-25,-16,-46,-46,-43,-51,-46,-57,-49,-51,-48,-59,-58,-68,-55,-60,-55,-60,-62,-63,-57,-68,-65,-75,-200,-70,-70,-71,-200,-69,-67,-74,-66,-80,-62,-73,-61,-62,-73,-76,-79,-75,-200,-74,-82,-74,-77,-84,-78,-200,-200,-79,-58,-77,-79,-72,-78,-73,-85,-89,-88,-78,-82,-200,-200,-85,-80,-79,-83,-78,-78,-84,-200,-200,-85,-88,-200,-89,-88,-87,-200,-90,-90,-200,-200,-200,-200,-200,-68,-83,-89,-86,-86,-87,-89,-89,-84,-200,-200,-82,-200,-91,-93,-200,-83,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-85,-87
1526455050875,-40,-25,-16,-46,-46,-43,-51,-46,-57,-49,-51,-48,-59,-58,-68,-55,-60,-55,-60,-62,-63,-57,-68,-65,-75,-200,-70,-70,-71,-200,-69,-67,-74,-66,-80,-62,-73,-61,-62,-73,-76,-79,-75,-200,-74,-82,-74,-77,-84,-78,-200,-200,-79,-58,-77,-79,-72,-78,-73,-85,-89,-88,-78,-82,-200,-200,-85,-80,-79,-83,-78,-78,-84,-200,-200,-85,-88,-200,-89,-88,-87,-200,-90,-90,-200,-200,-200,-200,-200,-68,-83,-89,-86,-86,-87,-89,-89,-84,-200,-200,-82,-200,-91,-93,-200,-83,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-85,-87
1526455053531,-41,-26,-36,-43,-46,-54,-52,-44,-58,-48,-52,-48,-59,-58,-65,-56,-60,-56,-62,-62,-59,-53,-66,-69,-71,-200,-71,-66,-72,-200,-67,-62,-60,-75,-79,-61,-70,-64,-62,-74,-76,-76,-75,-200,-74,-82,-75,-78,-79,-71,-79,-200,-79,-60,-79,-77,-74,-80,-76,-85,-89,-89,-77,-82,-85,-76,-84,-81,-80,-86,-78,-78,-84,-200,-200,-200,-88,-200,-88,-88,-89,-200,-90,-200,-88,-200,-200,-200,-200,-68,-83,-89,-85,-86,-89,-88,-89,-88,-200,-200,-82,-200,-91,-93,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87
1526455053914,-41,-26,-36,-43,-46,-54,-52,-44,-58,-48,-52,-48,-59,-58,-65,-56,-60,-56,-62,-62,-59,-53,-66,-69,-71,-200,-71,-66,-72,-200,-67,-62,-60,-75,-79,-61,-70,-64,-62,-74,-76,-76,-75,-200,-74,-82,-75,-78,-79,-71,-79,-200,-79,-60,-79,-77,-74,-80,-76,-85,-89,-89,-77,-82,-85,-76,-84,-81,-80,-86,-78,-78,-84,-200,-200,-200,-88,-200,-88,-88,-89,-200,-90,-200,-88,-200,-200,-200,-200,-68,-83,-89,-85,-86,-89,-88,-89,-88,-200,-200,-82,-200,-91,-93,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87
1526455056567,-41,-15,-22,-48,-44,-9,-55,-43,-53,-49,-52,-52,-57,-60,-65,-56,-60,-61,-61,-63,-61,-53,-66,-69,-71,-200,-69,-67,-71,-200,-67,-63,-68,-82,-80,-65,-70,-70,-70,-73,-76,-80,-75,-200,-200,-82,-74,-77,-79,-71,-79,-200,-79,-62,-80,-77,-74,-80,-75,-78,-78,-89,-77,-82,-85,-76,-85,-80,-80,-86,-78,-200,-84,-200,-200,-84,-88,-200,-88,-88,-90,-200,-90,-200,-88,-200,-200,-200,-200,-68,-80,-89,-85,-86,-89,-88,-89,-88,-200,-200,-87,-200,-91,-200,-90,-83,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87
1526455056962,-41,-15,-22,-48,-44,-9,-55,-43,-53,-49,-52,-52,-57,-60,-65,-56,-60,-61,-61,-63,-61,-53,-66,-69,-71,-200,-69,-67,-71,-200,-67,-63,-68,-82,-80,-65,-70,-70,-70,-73,-76,-80,-75,-200,-200,-82,-74,-77,-79,-71,-79,-200,-79,-62,-80,-77,-74,-80,-75,-78,-78,-89,-77,-82,-85,-76,-85,-80,-80,-86,-78,-200,-84,-200,-200,-84,-88,-200,-88,-88,-90,-200,-90,-200,-88,-200,-200,-200,-200,-68,-80,-89,-85,-86,-89,-88,-89,-88,-200,-200,-87,-200,-91,-200,-90,-83,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87
1526455059589,-41,-37,-35,-45,-49,-44,-55,-46,-52,-49,-53,-48,-57,-55,-53,-53,-57,-61,-61,-60,-63,-53,-65,-68,-71,-71,-71,-67,-71,-200,-67,-61,-58,-82,-78,-63,-73,-70,-62,-73,-75,-77,-76,-200,-72,-82,-75,-75,-77,-79,-78,-200,-77,-62,-80,-78,-73,-79,-75,-77,-74,-89,-78,-80,-85,-76,-77,-80,-80,-83,-83,-200,-200,-200,-200,-84,-200,-200,-91,-88,-90,-200,-200,-200,-86,-200,-200,-200,-200,-200,-80,-89,-85,-87,-85,-88,-200,-82,-200,-200,-87,-200,-91,-200,-90,-83,-200,-89,-200,-200,-200,-200,-200,-200,-91,-200,-85,-87
1526455059995,-40,-16,-37,-45,-48,-50,-55,-52,-58,-50,-53,-61,-58,-66,-67,-56,-57,-61,-69,-63,-63,-54,-67,-66,-71,-71,-71,-67,-72,-87,-64,-65,-61,-77,-72,-61,-80,-70,-60,-74,-75,-76,-76,-200,-76,-200,-75,-75,-77,-79,-80,-200,-78,-66,-80,-78,-72,-80,-72,-78,-89,-89,-77,-81,-85,-76,-78,-80,-78,-83,-85,-87,-86,-87,-200,-84,-89,-200,-91,-200,-89,-200,-200,-200,-86,-200,-200,-200,-200,-200,-80,-89,-89,-92,-85,-88,-200,-82,-200,-90,-87,-200,-200,-200,-92,-200,-91,-89,-86,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526455062603,-39,-27,-35,-41,-47,-43,-55,-46,-52,-50,-54,-48,-58,-56,-66,-56,-61,-61,-69,-69,-63,-52,-67,-65,-69,-69,-70,-66,-69,-51,-66,-63,-59,-64,-82,-62,-72,-70,-62,-74,-72,-76,-76,-200,-72,-200,-75,-75,-77,-79,-80,-200,-78,-60,-79,-81,-72,-79,-73,-78,-89,-89,-77,-80,-200,-200,-78,-81,-79,-83,-77,-87,-86,-88,-200,-84,-89,-79,-91,-200,-89,-200,-200,-200,-89,-200,-90,-200,-200,-200,-84,-92,-89,-92,-85,-89,-200,-82,-200,-90,-87,-200,-200,-200,-92,-200,-91,-89,-86,-200,-200,-200,-200,-200,-91,-200,-86,-200
1526455063030,-39,-27,-35,-41,-47,-43,-55,-46,-52,-50,-54,-48,-58,-56,-66,-56,-61,-61,-69,-69,-63,-52,-67,-65,-69,-69,-70,-66,-69,-51,-66,-63,-59,-64,-82,-62,-72,-70,-62,-74,-72,-76,-76,-200,-72,-200,-75,-75,-77,-79,-80,-200,-78,-60,-79,-81,-72,-79,-73,-78,-89,-89,-77,-80,-200,-200,-78,-81,-79,-83,-77,-87,-86,-88,-200,-84,-89,-79,-91,-200,-89,-200,-200,-200,-89,-200,-90,-200,-200,-200,-84,-92,-89,-92,-85,-89,-200,-82,-200,-90,-87,-200,-200,-200,-92,-200,-91,-89,-86,-200,-200,-200,-200,-200,-91,-200,-86,-200
1526455065642,-38,-8,-16,-44,-44,-44,-57,-45,-53,-50,-56,-53,-59,-66,-74,-57,-61,-200,-69,-59,-50,-54,-65,-71,-75,-71,-69,-61,-71,-67,-67,-68,-78,-64,-80,-61,-75,-200,-62,-74,-70,-78,-76,-200,-76,-200,-74,-75,-81,-81,-80,-200,-77,-60,-77,-81,-72,-78,-72,-81,-77,-89,-77,-80,-87,-200,-87,-81,-74,-83,-77,-84,-86,-88,-200,-200,-89,-79,-91,-200,-89,-200,-200,-200,-89,-200,-90,-200,-89,-69,-84,-92,-87,-85,-85,-89,-200,-82,-200,-90,-200,-200,-200,-200,-92,-200,-91,-93,-86,-200,-200,-200,-200,-200,-91,-200,-86,-200
1526455066078,-38,-8,-16,-44,-44,-44,-57,-45,-53,-50,-56,-53,-59,-66,-74,-57,-61,-200,-69,-59,-50,-54,-65,-71,-75,-71,-69,-61,-71,-67,-67,-68,-78,-64,-80,-61,-75,-200,-62,-74,-70,-78,-76,-200,-76,-200,-74,-75,-81,-81,-80,-200,-77,-60,-77,-81,-72,-78,-72,-81,-77,-89,-77,-80,-87,-200,-87,-81,-74,-83,-77,-84,-86,-88,-200,-200,-89,-79,-91,-200,-89,-200,-200,-200,-89,-200,-90,-200,-89,-69,-84,-92,-87,-85,-85,-89,-200,-82,-200,-90,-200,-200,-200,-200,-92,-200,-91,-93,-86,-200,-200,-200,-200,-200,-91,-200,-86,-200
1526455068689,-39,-27,-36,-45,-42,-44,-54,-45,-53,-50,-55,-54,-59,-59,-68,-55,-59,-52,-60,-63,-63,-54,-65,-71,-74,-71,-67,-61,-71,-50,-67,-58,-59,-64,-80,-64,-71,-66,-63,-73,-70,-77,-200,-200,-72,-200,-75,-78,-77,-80,-80,-200,-77,-58,-78,-76,-73,-78,-74,-79,-79,-89,-79,-80,-86,-200,-83,-81,-73,-83,-77,-84,-86,-88,-200,-200,-89,-82,-88,-200,-89,-85,-200,-200,-89,-200,-90,-200,-89,-69,-83,-92,-87,-85,-86,-89,-200,-83,-200,-90,-200,-200,-200,-200,-92,-200,-91,-93,-86,-200,-200,-200,-74,-200,-200,-200,-86,-200
1526455069116,-39,-27,-36,-45,-42,-44,-54,-45,-53,-50,-55,-54,-59,-59,-68,-55,-59,-52,-60,-63,-63,-54,-65,-71,-74,-71,-67,-61,-71,-50,-67,-58,-59,-64,-80,-64,-71,-66,-63,-73,-70,-77,-200,-200,-72,-200,-75,-78,-77,-80,-80,-200,-77,-58,-78,-76,-73,-78,-74,-79,-79,-89,-79,-80,-86,-200,-83,-81,-73,-83,-77,-84,-86,-88,-200,-200,-89,-82,-88,-200,-89,-85,-200,-200,-89,-200,-90,-200,-89,-69,-83,-92,-87,-85,-86,-89,-200,-83,-200,-90,-200,-200,-200,-200,-92,-200,-91,-93,-86,-200,-200,-200,-74,-200,-200,-200,-86,-200
