,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EC0,DLINK_D02A38,NETWORK,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447880229,-26,-38,-26,-40,-45,-41,-50,-45,-42,-45,-52,-41,-54,-62,-58,-55,-55,-65,-63,-62,-53,-69,-56,-63,-66,-69,-54,-70,-66,-78,-71,-74,-62,-65,-69,-74,-68,-68,-75,-76,-75,-72,-66,-74,-78,-200,-73,-73,-76,-69,-80,-74,-80,-75,-81,-200,-200,-78,-76,-82,-81,-200,-83,-200,-85,-85,-88,-88,-200,-200,-87,-86,-91,-200,-89,-91,-95,-89,-88,-84,-92,-200,-200,-200,-200,-88,-83,-88,-84,-72,-89,-83,-73,-200,-92,-200,-87,-85,-89,-200,-82,-89,-90,-92,-89,-91,-82,-200
1526447882657,-40,-45,-26,-41,-46,-40,-50,-49,-52,-45,-50,-43,-54,-61,-56,-53,-55,-60,-63,-55,-54,-62,-62,-64,-65,-67,-61,-73,-66,-80,-71,-74,-59,-63,-66,-72,-62,-70,-82,-77,-76,-72,-66,-74,-78,-200,-72,-73,-73,-78,-80,-74,-79,-79,-81,-79,-200,-200,-76,-83,-81,-200,-200,-200,-85,-86,-85,-86,-200,-84,-87,-86,-91,-200,-89,-90,-95,-200,-88,-87,-92,-54,-200,-200,-200,-88,-85,-88,-82,-82,-89,-88,-79,-200,-200,-200,-87,-85,-89,-200,-82,-89,-90,-92,-89,-91,-82,-200
1526447883268,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447885703,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447886282,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447888739,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447889313,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447891780,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447892356,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447894827,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447895401,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447897860,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
1526447898433,-28,-38,-29,-43,-46,-43,-52,-46,-40,-45,-50,-42,-54,-62,-55,-54,-55,-63,-76,-62,-53,-52,-57,-62,-66,-63,-61,-69,-66,-79,-70,-74,-58,-66,-68,-71,-61,-70,-74,-77,-76,-72,-66,-74,-78,-200,-72,-74,-71,-68,-85,-75,-84,-81,-81,-79,-200,-200,-75,-82,-81,-200,-81,-200,-85,-86,-85,-86,-200,-84,-84,-88,-91,-200,-89,-90,-95,-200,-87,-87,-92,-54,-200,-200,-200,-91,-84,-87,-82,-79,-89,-88,-79,-200,-200,-200,-88,-85,-89,-200,-82,-89,-91,-200,-89,-91,-82,-88
