,0113.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,null,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2E:16,BC:6A:29:BE:2F:12,F4:B8:5E:AA:77:73,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,78:A5:04:41:EE:07,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:E4,78:A5:04:41:E5:56,78:A5:04:41:E5:5F,78:A5:04:41:E7:81,78:A5:04:41:E5:77,78:A5:04:41:EB:C9,78:A5:04:41:E7:A2,78:A5:04:41:E9:E0,7C:66:9D:7B:47:3D
1526460077138,-200,-76,-200,-67,-62,-200,-200,-200,-200,-200,-85,-64,-200,-200,-200,-90,-200,-200,-200,-200
1526460077231,-200,-75,-200,-67,-62,-200,-70,-81,-200,-88,-83,-64,-200,-91,-93,-91,-200,-200,-200,-200
1526460077340,-95,-75,-70,-67,-62,-200,-70,-81,-92,-88,-200,-63,-200,-90,-92,-91,-96,-200,-200,-200
1526460077446,-200,-75,-70,-67,-62,-200,-70,-81,-92,-88,-85,-63,-200,-93,-93,-92,-200,-200,-200,-200
1526460077541,-200,-75,-70,-67,-62,-200,-70,-81,-200,-88,-83,-63,-200,-200,-93,-91,-200,-98,-200,-200
1526460077687,-200,-75,-68,-67,-62,-92,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460082051,-200,-85,-78,-200,-69,-200,-83,-200,-200,-200,-200,-68,-91,-200,-200,-200,-200,-200,-200,-200
1526460082210,-94,-200,-200,-78,-69,-93,-82,-200,-200,-92,-90,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526460082285,-200,-85,-78,-77,-69,-200,-82,-88,-200,-200,-88,-68,-92,-200,-200,-200,-200,-200,-200,-200
1526460082400,-200,-200,-78,-200,-200,-92,-200,-88,-95,-200,-89,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526460082516,-200,-200,-200,-77,-69,-93,-200,-200,-200,-200,-200,-68,-92,-200,-200,-99,-200,-200,-200,-200
1526460082619,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200
