,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A20,whu2011314,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526460011461,-36,-33,-50,-45,-50,-55,-49,-53,-52,-58,-60,-61,-55,-56,-56,-66,-61,-60,-73,-60,-60,-55,-79,-68,-79,-68,-68,-58,-68,-81,-76,-70,-68,-69,-72,-79,-76,-82,-72,-64,-200,-64,-85,-87,-76,-80,-77,-88,-80,-85,-81,-77,-77,-72,-85,-77,-81,-86,-91,-80,-88,-86,-97,-81,-85,-86,-85,-84,-200,-90,-200,-93,-200,-200,-95,-97,-76,-200,-200,-91,-72,-82,-85,-89,-92,-92,-200,-200,-85,-84,-89,-200,-200,-82,-88,-200,-82,-200,-88,-200,-200,-87,-87,-97,-80,-90,-200,-200,-200
1526460012099,-36,-33,-50,-45,-50,-55,-49,-53,-52,-58,-60,-61,-55,-56,-56,-66,-61,-60,-73,-60,-60,-55,-79,-68,-79,-68,-68,-58,-68,-81,-76,-70,-68,-69,-72,-79,-76,-82,-72,-64,-200,-64,-85,-87,-76,-80,-77,-88,-80,-85,-81,-77,-77,-72,-85,-77,-81,-86,-91,-80,-88,-86,-97,-81,-85,-86,-85,-84,-200,-90,-200,-93,-200,-200,-95,-97,-76,-200,-200,-91,-72,-82,-85,-89,-92,-92,-200,-200,-85,-84,-89,-200,-200,-82,-88,-200,-82,-200,-88,-200,-200,-87,-87,-97,-80,-90,-200,-200,-200
1526460014516,-38,-33,-50,-46,-51,-54,-49,-52,-51,-63,-63,-65,-58,-56,-57,-63,-64,-59,-70,-60,-57,-57,-80,-68,-77,-64,-66,-61,-64,-79,-75,-69,-68,-69,-72,-80,-73,-82,-72,-74,-78,-68,-85,-87,-78,-78,-81,-88,-84,-200,-81,-76,-78,-200,-92,-80,-79,-85,-91,-80,-82,-86,-97,-79,-87,-87,-85,-83,-93,-91,-200,-90,-200,-200,-99,-200,-76,-90,-200,-91,-72,-82,-200,-89,-89,-96,-200,-200,-85,-84,-92,-200,-75,-82,-86,-200,-86,-200,-200,-96,-200,-200,-200,-200,-80,-90,-93,-94,-200
1526460015168,-38,-33,-50,-46,-51,-54,-49,-52,-51,-63,-63,-65,-58,-56,-57,-63,-64,-59,-70,-60,-57,-57,-80,-68,-77,-64,-66,-61,-64,-79,-75,-69,-68,-69,-72,-80,-73,-82,-72,-74,-78,-68,-85,-87,-78,-78,-81,-88,-84,-200,-81,-76,-78,-200,-92,-80,-79,-85,-91,-80,-82,-86,-97,-79,-87,-87,-85,-83,-93,-91,-200,-90,-200,-200,-99,-200,-76,-90,-200,-91,-72,-82,-200,-89,-89,-96,-200,-200,-85,-84,-92,-200,-75,-82,-86,-200,-86,-200,-200,-96,-200,-200,-200,-200,-80,-90,-93,-94,-200
1526460017585,-37,-35,-49,-44,-60,-58,-47,-52,-52,-61,-62,-67,-58,-56,-59,-64,-62,-61,-72,-60,-60,-56,-76,-70,-79,-67,-65,-61,-68,-80,-73,-60,-73,-70,-76,-80,-78,-80,-72,-70,-78,-65,-84,-86,-79,-81,-81,-87,-85,-200,-81,-76,-76,-77,-89,-77,-79,-85,-200,-80,-82,-86,-95,-80,-86,-87,-87,-84,-93,-92,-200,-94,-200,-200,-99,-200,-76,-90,-200,-90,-62,-81,-62,-90,-92,-91,-200,-200,-71,-84,-92,-200,-75,-200,-89,-200,-86,-83,-200,-93,-200,-87,-200,-200,-200,-200,-93,-94,-200
1526460018223,-37,-35,-49,-44,-60,-58,-47,-52,-52,-61,-62,-67,-58,-56,-59,-64,-62,-61,-72,-60,-60,-56,-76,-70,-79,-67,-65,-61,-68,-80,-73,-60,-73,-70,-76,-80,-78,-80,-72,-70,-78,-65,-84,-86,-79,-81,-81,-87,-85,-200,-81,-76,-76,-77,-89,-77,-79,-85,-200,-80,-82,-86,-95,-80,-86,-87,-87,-84,-93,-92,-200,-94,-200,-200,-99,-200,-76,-90,-200,-90,-62,-81,-62,-90,-92,-91,-200,-200,-71,-84,-92,-200,-75,-200,-89,-200,-86,-83,-200,-93,-200,-87,-200,-200,-200,-200,-93,-94,-200
1526460020633,-35,-36,-50,-48,-58,-56,-49,-53,-54,-63,-60,-69,-53,-52,-66,-67,-66,-57,-73,-60,-63,-56,-78,-72,-76,-67,-66,-56,-71,-79,-73,-70,-73,-67,-75,-79,-79,-82,-71,-72,-200,-61,-81,-87,-75,-74,-83,-86,-85,-200,-80,-73,-74,-75,-89,-78,-77,-86,-200,-80,-79,-85,-95,-81,-94,-90,-85,-85,-95,-92,-200,-89,-200,-200,-200,-200,-76,-90,-89,-90,-62,-80,-62,-89,-92,-91,-98,-200,-71,-85,-200,-200,-75,-200,-89,-200,-200,-83,-200,-93,-200,-91,-200,-200,-200,-200,-92,-94,-200
1526460021276,-35,-36,-50,-48,-58,-56,-49,-53,-54,-63,-60,-69,-53,-52,-66,-67,-66,-57,-73,-60,-63,-56,-78,-72,-76,-67,-66,-56,-71,-79,-73,-70,-73,-67,-75,-79,-79,-82,-71,-72,-200,-61,-81,-87,-75,-74,-83,-86,-85,-200,-80,-73,-74,-75,-89,-78,-77,-86,-200,-80,-79,-85,-95,-81,-94,-90,-85,-85,-95,-92,-200,-89,-200,-200,-200,-200,-76,-90,-89,-90,-62,-80,-62,-89,-92,-91,-98,-200,-71,-85,-200,-200,-75,-200,-89,-200,-200,-83,-200,-93,-200,-91,-200,-200,-200,-200,-92,-94,-200
1526460023688,-35,-40,-50,-46,-55,-56,-50,-53,-52,-58,-60,-77,-57,-56,-59,-66,-60,-58,-60,-61,-60,-63,-79,-64,-79,-73,-70,-61,-67,-80,-71,-69,-70,-72,-76,-83,-75,-64,-79,-75,-79,-72,-81,-82,-75,-74,-84,-85,-79,-200,-80,-76,-76,-76,-89,-75,-82,-84,-200,-82,-83,-86,-91,-82,-88,-88,-85,-86,-95,-95,-200,-89,-97,-200,-200,-200,-84,-200,-91,-94,-200,-79,-86,-87,-92,-96,-96,-200,-90,-88,-200,-79,-200,-200,-89,-200,-200,-82,-200,-96,-200,-91,-200,-200,-75,-91,-92,-200,-200
1526460024325,-35,-40,-50,-46,-55,-56,-50,-53,-52,-58,-60,-77,-57,-56,-59,-66,-60,-58,-60,-61,-60,-63,-79,-64,-79,-73,-70,-61,-67,-80,-71,-69,-70,-72,-76,-83,-75,-64,-79,-75,-79,-72,-81,-82,-75,-74,-84,-85,-79,-200,-80,-76,-76,-76,-89,-75,-82,-84,-200,-82,-83,-86,-91,-82,-88,-88,-85,-86,-95,-95,-200,-89,-97,-200,-200,-200,-84,-200,-91,-94,-200,-79,-86,-87,-92,-96,-96,-200,-90,-88,-200,-79,-200,-200,-89,-200,-200,-82,-200,-96,-200,-91,-200,-200,-75,-91,-92,-200,-200
1526460026742,-34,-40,-51,-45,-58,-57,-51,-55,-52,-62,-60,-60,-57,-60,-56,-67,-60,-61,-66,-63,-65,-63,-77,-60,-75,-75,-70,-58,-64,-80,-74,-70,-70,-68,-78,-80,-79,-83,-76,-76,-79,-73,-80,-81,-76,-74,-91,-88,-86,-200,-82,-78,-79,-77,-89,-77,-82,-84,-200,-82,-84,-85,-92,-83,-84,-84,-84,-84,-95,-91,-200,-89,-96,-200,-200,-200,-84,-82,-92,-93,-200,-82,-85,-87,-92,-96,-96,-200,-77,-88,-93,-79,-200,-83,-88,-200,-76,-82,-92,-96,-200,-200,-200,-200,-75,-91,-92,-200,-96
1526460027398,-34,-40,-51,-45,-58,-57,-51,-55,-52,-62,-60,-60,-57,-60,-56,-67,-60,-61,-66,-63,-65,-63,-77,-60,-75,-75,-70,-58,-64,-80,-74,-70,-70,-68,-78,-80,-79,-83,-76,-76,-79,-73,-80,-81,-76,-74,-91,-88,-86,-200,-82,-78,-79,-77,-89,-77,-82,-84,-200,-82,-84,-85,-92,-83,-84,-84,-84,-84,-95,-91,-200,-89,-96,-200,-200,-200,-84,-82,-92,-93,-200,-82,-85,-87,-92,-96,-96,-200,-77,-88,-93,-79,-200,-83,-88,-200,-76,-82,-92,-96,-200,-200,-200,-200,-75,-91,-92,-200,-96
1526460029797,-38,-35,-49,-45,-59,-56,-48,-58,-54,-54,-61,-67,-54,-55,-58,-68,-61,-57,-59,-59,-61,-60,-75,-63,-85,-65,-70,-60,-65,-78,-72,-64,-200,-70,-61,-81,-78,-83,-76,-72,-79,-73,-80,-85,-76,-200,-83,-86,-86,-81,-82,-79,-78,-75,-88,-78,-85,-83,-200,-82,-82,-83,-93,-83,-88,-86,-84,-87,-200,-92,-200,-200,-96,-200,-200,-200,-84,-93,-92,-93,-70,-80,-85,-86,-92,-200,-96,-200,-84,-87,-93,-79,-200,-83,-88,-200,-82,-200,-87,-96,-200,-200,-200,-200,-75,-91,-200,-200,-96
1526460030451,-38,-35,-49,-45,-59,-56,-48,-58,-54,-54,-61,-67,-54,-55,-58,-68,-61,-57,-59,-59,-61,-60,-75,-63,-85,-65,-70,-60,-65,-78,-72,-64,-200,-70,-61,-81,-78,-83,-76,-72,-79,-73,-80,-85,-76,-200,-83,-86,-86,-81,-82,-79,-78,-75,-88,-78,-85,-83,-200,-82,-82,-83,-93,-83,-88,-86,-84,-87,-200,-92,-200,-200,-96,-200,-200,-200,-84,-93,-92,-93,-70,-80,-85,-86,-92,-200,-96,-200,-84,-87,-93,-79,-200,-83,-88,-200,-82,-200,-87,-96,-200,-200,-200,-200,-75,-91,-200,-200,-96
