,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28
1526449094268,-47,-50,-57,-55,-54,-52,-67,-67,-65,-57,-70,-71,-73,-62,-70,-68,-68,-70,-70,-67,-69,-70,-74,-68,-70,-79,-72,-75,-77,-66,-77,-82,-87,-82,-82,-85,-81,-82,-76,-88,-85,-85,-200,-84,-87,-81,-88,-87,-82,-86,-89,-88,-88,-200,-85,-88,-88,-91,-89,-83,-88,-89,-88,-90,-200,-90,-200,-200,-200,-90,-81,-200,-200,-87,-87,-86,-90,-90,-200,-200,-89,-88,-200,-200,-200,-88,-87,-200,-91,-90,-88,-200,-200,-85,-200,-200,-200,-200,-200,-84,-200,-200,-200,-91,-85,-89,-200
1526449094746,-47,-50,-57,-55,-54,-52,-67,-67,-65,-57,-70,-71,-73,-62,-70,-68,-68,-70,-70,-67,-69,-70,-74,-68,-70,-79,-72,-75,-77,-66,-77,-82,-87,-82,-82,-85,-81,-82,-76,-88,-85,-85,-200,-84,-87,-81,-88,-87,-82,-86,-89,-88,-88,-200,-85,-88,-88,-91,-89,-83,-88,-89,-88,-90,-200,-90,-200,-200,-200,-90,-81,-200,-200,-87,-87,-86,-90,-90,-200,-200,-89,-88,-200,-200,-200,-88,-87,-200,-91,-90,-88,-200,-200,-85,-200,-200,-200,-200,-200,-84,-200,-200,-200,-91,-85,-89,-200
1526449097288,-44,-45,-51,-52,-53,-52,-59,-74,-66,-52,-73,-62,-56,-62,-63,-70,-68,-67,-72,-66,-71,-70,-75,-72,-71,-70,-72,-77,-81,-76,-77,-79,-83,-80,-85,-84,-86,-80,-78,-85,-84,-200,-200,-83,-84,-81,-88,-87,-82,-87,-89,-90,-88,-200,-81,-88,-89,-91,-89,-85,-92,-87,-87,-90,-90,-88,-200,-91,-200,-89,-91,-91,-200,-90,-88,-86,-200,-90,-88,-200,-89,-88,-200,-200,-200,-88,-87,-200,-91,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-85,-89,-200
1526449097790,-44,-45,-51,-52,-53,-52,-59,-74,-66,-52,-73,-62,-56,-62,-63,-70,-68,-67,-72,-66,-71,-70,-75,-72,-71,-70,-72,-77,-81,-76,-77,-79,-83,-80,-85,-84,-86,-80,-78,-85,-84,-200,-200,-83,-84,-81,-88,-87,-82,-87,-89,-90,-88,-200,-81,-88,-89,-91,-89,-85,-92,-87,-87,-90,-90,-88,-200,-91,-200,-89,-91,-91,-200,-90,-88,-86,-200,-90,-88,-200,-89,-88,-200,-200,-200,-88,-87,-200,-91,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-85,-89,-200
1526449100329,-44,-56,-51,-52,-55,-51,-68,-64,-64,-75,-73,-64,-65,-62,-66,-70,-69,-68,-70,-67,-77,-70,-72,-69,-71,-74,-79,-79,-81,-77,-80,-78,-85,-80,-83,-84,-86,-80,-78,-85,-84,-200,-200,-85,-84,-81,-200,-88,-82,-87,-88,-88,-200,-200,-79,-88,-88,-91,-89,-83,-92,-83,-87,-90,-92,-88,-200,-91,-200,-89,-84,-88,-200,-84,-87,-86,-95,-90,-89,-200,-200,-87,-200,-200,-200,-86,-87,-200,-91,-90,-200,-88,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-89,-90
1526449100825,-44,-56,-51,-52,-55,-51,-68,-64,-64,-75,-73,-64,-65,-62,-66,-70,-69,-68,-70,-67,-77,-70,-72,-69,-71,-74,-79,-79,-81,-77,-80,-78,-85,-80,-83,-84,-86,-80,-78,-85,-84,-200,-200,-85,-84,-81,-200,-88,-82,-87,-88,-88,-200,-200,-79,-88,-88,-91,-89,-83,-92,-83,-87,-90,-92,-88,-200,-91,-200,-89,-84,-88,-200,-84,-87,-86,-95,-90,-89,-200,-200,-87,-200,-200,-200,-86,-87,-200,-91,-90,-200,-88,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-89,-90
1526449103375,-46,-44,-52,-56,-64,-51,-64,-70,-67,-52,-71,-69,-72,-62,-74,-65,-73,-67,-69,-67,-71,-67,-73,-69,-73,-76,-67,-75,-78,-73,-77,-78,-86,-81,-82,-78,-85,-77,-77,-86,-84,-84,-83,-90,-86,-78,-88,-88,-82,-88,-88,-88,-89,-200,-81,-88,-88,-87,-89,-83,-88,-88,-87,-90,-92,-88,-200,-91,-90,-89,-84,-88,-200,-85,-87,-86,-91,-90,-86,-200,-200,-87,-200,-90,-200,-86,-87,-200,-91,-90,-88,-90,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-89,-90
1526449103838,-46,-44,-52,-56,-64,-51,-64,-70,-67,-52,-71,-69,-72,-62,-74,-65,-73,-67,-69,-67,-71,-67,-73,-69,-73,-76,-67,-75,-78,-73,-77,-78,-86,-81,-82,-78,-85,-77,-77,-86,-84,-84,-83,-90,-86,-78,-88,-88,-82,-88,-88,-88,-89,-200,-81,-88,-88,-87,-89,-83,-88,-88,-87,-90,-92,-88,-200,-91,-90,-89,-84,-88,-200,-85,-87,-86,-91,-90,-86,-200,-200,-87,-200,-90,-200,-86,-87,-200,-91,-90,-88,-90,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-89,-90
1526449106402,-43,-44,-50,-55,-59,-52,-60,-71,-66,-52,-72,-66,-77,-64,-68,-69,-70,-67,-72,-68,-70,-67,-76,-70,-71,-72,-71,-75,-79,-77,-77,-79,-84,-84,-82,-78,-85,-77,-79,-86,-85,-82,-83,-84,-86,-81,-88,-90,-82,-86,-86,-89,-89,-200,-80,-88,-88,-87,-91,-83,-90,-88,-87,-90,-92,-88,-200,-89,-90,-89,-84,-90,-90,-85,-88,-86,-91,-89,-90,-200,-200,-87,-200,-90,-200,-86,-200,-200,-200,-90,-88,-90,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-200,-90
1526449106850,-45,-48,-51,-53,-56,-55,-57,-64,-63,-51,-71,-68,-72,-61,-77,-71,-70,-66,-73,-68,-71,-71,-71,-68,-72,-71,-71,-75,-80,-76,-77,-76,-85,-81,-82,-78,-84,-79,-76,-85,-85,-82,-83,-82,-82,-82,-88,-89,-83,-86,-88,-89,-90,-200,-81,-89,-88,-87,-88,-85,-89,-84,-87,-90,-92,-200,-200,-91,-90,-90,-84,-90,-90,-85,-89,-86,-89,-89,-88,-200,-200,-87,-200,-90,-200,-86,-200,-200,-200,-90,-88,-90,-200,-200,-200,-200,-90,-200,-90,-200,-200,-200,-200,-200,-200,-200,-90
1526449109419,-45,-48,-54,-54,-69,-51,-61,-67,-65,-51,-74,-72,-69,-59,-69,-70,-69,-71,-70,-67,-70,-71,-72,-71,-72,-68,-72,-75,-82,-73,-77,-79,-83,-86,-81,-78,-86,-79,-76,-87,-85,-82,-83,-87,-86,-89,-88,-89,-83,-86,-88,-89,-90,-200,-84,-89,-89,-87,-90,-86,-89,-91,-87,-89,-200,-200,-200,-90,-90,-87,-200,-90,-90,-83,-89,-200,-91,-89,-86,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-88,-90,-200,-83,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526449109890,-45,-48,-54,-54,-69,-51,-61,-67,-65,-51,-74,-72,-69,-59,-69,-70,-69,-71,-70,-67,-70,-71,-72,-71,-72,-68,-72,-75,-82,-73,-77,-79,-83,-86,-81,-78,-86,-79,-76,-87,-85,-82,-83,-87,-86,-89,-88,-89,-83,-86,-88,-89,-90,-200,-84,-89,-89,-87,-90,-86,-89,-91,-87,-89,-200,-200,-200,-90,-90,-87,-200,-90,-90,-83,-89,-200,-91,-89,-86,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-88,-90,-200,-83,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526449112461,-47,-46,-52,-55,-55,-55,-66,-69,-66,-54,-69,-67,-71,-60,-68,-70,-69,-68,-73,-66,-74,-69,-73,-71,-75,-68,-70,-77,-77,-75,-83,-80,-81,-80,-83,-83,-84,-76,-76,-87,-85,-82,-200,-87,-82,-82,-200,-90,-83,-88,-86,-89,-90,-200,-85,-90,-89,-200,-90,-83,-91,-91,-87,-90,-200,-88,-200,-90,-200,-88,-82,-90,-91,-83,-86,-200,-90,-89,-85,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-90,-87,-200,-82,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-89
1526449112925,-47,-46,-52,-55,-55,-55,-66,-69,-66,-54,-69,-67,-71,-60,-68,-70,-69,-68,-73,-66,-74,-69,-73,-71,-75,-68,-70,-77,-77,-75,-83,-80,-81,-80,-83,-83,-84,-76,-76,-87,-85,-82,-200,-87,-82,-82,-200,-90,-83,-88,-86,-89,-90,-200,-85,-90,-89,-200,-90,-83,-91,-91,-87,-90,-200,-88,-200,-90,-200,-88,-82,-90,-91,-83,-86,-200,-90,-89,-85,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-90,-87,-200,-82,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-89
