TimeStamp,cc:d5:39:e9:5c:a0,cc:d5:39:e9:5c:ab,24:01:c7:08:b3:ff,cc:d5:39:e9:5c:ae,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:aa,cc:d5:39:e9:5c:ac,cc:d5:39:e9:5c:ad,cc:d5:39:a0:cd:bd,cc:d5:39:e9:5c:a2,cc:d5:39:a0:cd:b0,cc:d5:39:e9:5c:a4,cc:d5:39:a0:cd:b2,24:01:c7:08:b3:f0,24:01:c7:6c:fc:52,cc:d5:39:a0:cd:b5,24:01:c7:08:b3:f2,24:01:c7:08:b3:f1,24:01:c7:6c:fc:51,24:01:c7:6c:fc:50,24:01:c7:6c:fc:54,cc:d5:39:a0:cd:b1,cc:d5:39:e9:5c:a5,cc:d5:39:a0:cd:bf,cc:d5:39:a0:cd:bb,24:01:c7:6c:fc:55,24:01:c7:08:b3:fd,24:01:c7:08:b3:f5,24:01:c7:08:b3:fb,24:01:c7:33:7f:a1,cc:d5:39:a0:cd:bc,cc:d5:39:a0:cd:ba,24:01:c7:6c:fc:5b,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:5e,24:01:c7:33:7f:aa,24:01:c7:33:7f:ac,24:01:c7:33:7f:ae,cc:d5:39:a0:cd:b4,cc:d5:39:e9:5c:a1,34:a8:4e:c6:22:00,24:01:c7:08:b3:fa,24:01:c7:08:b3:fc,24:01:c7:08:b3:fe,cc:d5:39:a0:cd:be,24:01:c7:33:7f:ad,34:a8:4e:c6:22:01,34:a8:4e:c6:22:02,24:01:c7:6c:fc:5a,24:01:c7:33:7f:a4,24:01:c7:33:7f:a0,24:01:c7:33:7f:a2,24:01:c7:08:b3:f4,24:01:c7:33:7f:ab,24:01:c7:33:7f:af,24:01:c7:33:7f:a5,24:01:c7:6c:fc:5c,cc:d5:39:e5:b3:84,cc:d5:39:e5:b3:81,24:01:c7:77:3e:aa,24:01:c7:77:3e:ab,24:01:c7:77:3e:ac,24:01:c7:77:3e:ae,24:01:c7:77:3e:af,58:97:1e:f7:73:b1,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:82,cc:d5:39:e5:b3:80,cc:d5:39:e5:b3:85,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:51,58:97:1e:f7:73:b2,58:97:1e:f7:73:b5,cc:d5:39:e5:b3:8c,cc:d5:39:e5:b3:8a,e0:d1:73:ff:ee:55,cc:d5:39:e5:b3:8d,cc:d5:39:e5:b3:8f,cc:d5:39:e5:b3:8b,58:97:1e:f7:73:b0,e0:d1:73:ff:ee:54,e0:d1:73:ff:ee:50,e0:d1:73:ff:ee:52,e0:d1:73:ff:ee:5b,e0:d1:73:ff:ee:5f,cc:d5:39:e5:b3:8e,e0:d1:73:ff:ee:5c,e0:d1:73:ff:ee:5a,88:75:56:44:c6:ee,e0:d1:73:ff:ee:5e,88:75:56:44:c6:ed,cc:d5:39:25:b4:35,cc:d5:39:25:b4:30,cc:d5:39:25:b4:34,88:75:56:44:c6:e1,e0:d1:73:ff:ee:5d,88:75:56:44:c6:e0,88:75:56:44:c6:e4,88:75:56:44:c6:e5,58:97:1e:f7:73:bd,58:97:1e:f7:73:bb,88:75:56:44:c6:ef,88:75:56:44:c6:ea,88:75:56:44:c6:e2,58:97:1e:f7:73:bf,88:75:56:44:c6:ec,58:97:1e:f7:73:bc,58:97:1e:f7:73:ba,cc:d5:39:25:b4:3d,58:97:1e:f7:73:be,24:01:c7:ca:81:0c,24:01:c7:ca:81:0a,24:01:c7:ca:81:04,24:01:c7:ca:81:02,24:01:c7:ca:81:00,24:01:c7:ca:81:05,24:01:c7:ca:81:0d,24:01:c7:ca:81:01,34:a8:4e:a2:a3:99,24:01:c7:ca:81:0b,34:a8:4e:a2:a3:9a,24:01:c7:ca:81:0f,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:95,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:92,34:a8:4e:a2:a3:9f,24:01:c7:ca:81:0e,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:9d,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:f5
1453855993680,-80,-85,,-81,-82,-81,-81,,,-85,-82,-80,,-87,,-83,,,,,,-79,-73,-89,-86,,,,,-77,-85,-85,,,,,-76,-63,-74,-85,-85,,,,,-85,-73,,,,-78,-78,-79,,-73,-74,-69,,,-84,,,,,,-75,,,,,-64,-88,-76,-73,,,-80,,,,-62,-85,-85,,-88,-87,,-86,-87,,-88,,,,,,-86,,,,-87,-82,,,-88,-84,,-83,-80,,-88,-73,-68,-62,-59,-61,-67,-70,-63,-80,-67,-77,-70,-76,-79,-82,-83,-83,-83,,-71,,-84,-79,-91,-85,,,
1453855996038,-80,-85,,,,,,,,-85,-82,-80,,,,-83,,,,,,,,,,,,,,-77,-85,-85,,,,,-74,,-74,-85,-85,,,,,-85,-73,,,,-78,-78,-79,,-73,-74,-78,,,,,,,,,-75,,,,,-76,-88,-76,-78,,,,,,,-74,-85,-85,,,,,,,,,,,,,,,,,,-87,,,,,-84,,-83,-80,,-88,-73,-68,-59,-59,-59,-60,-67,-63,-80,-67,-76,-67,-76,-79,-82,-73,-73,-70,-78,-67,-79,-71,-79,-91,-79,-77,-78,-78
1453855998378,-80,,,,,,,,,-85,,-80,,,,-83,,,,,,,,,,,,,,-77,,,,,,,-74,,-74,,-85,,,,,,-73,,,,-78,-78,-79,,-73,-74,-78,,,,,,,,,-79,,,,,-76,,-76,-78,,,,,,,-74,-85,-85,,,,,,,,,,,,,,,,,,-87,,,,,,,,,,-88,-73,-68,-59,-59,-59,-60,-77,-60,-80,-78,-76,-77,-76,-79,-82,-78,-79,-78,-78,-67,-79,-71,-79,-91,-79,-77,-78,-78
1453856000712,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-74,,-74,,-85,,,,,,-73,,,,-78,-78,-79,,,,-78,,,,,,,,,-79,,,,,-76,,-76,-78,,,,,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,-59,-59,-73,-74,-79,-60,-80,-78,-76,-81,-76,-79,-82,-78,-79,-78,-78,-78,-79,-71,-79,-91,-79,-77,-78,-78
1453856003061,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,,-74,,-85,,,,,,-73,,,,-78,-78,-79,,,,-78,,,,,,,,,-79,,,,,-76,,-76,-78,,,,,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,-76,-80,-73,-74,-79,-75,-80,-78,-76,-81,,-79,-82,-78,-79,-78,-78,-78,-79,-71,-79,,-79,-77,-78,-78
1453856005386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,,,,,-78,,,,,,,,,-79,,,,,-76,,,-78,,,,,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-80,-73,-80,-86,-75,,-88,-76,-81,,,,-78,-79,-78,-78,-78,-79,-71,,,-79,-77,-78,-78
1453856007710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,,-82,-80,-81,-80,-86,-75,,-88,,-81,,,,-78,-79,-78,,-87,,,,,,,,
1453856010037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,,-80,-79,-81,-80,-86,-79,,-88,,-81,,,,,,,,-87,,,,,,,,
1453856012357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,,-80,-79,-81,-80,-86,-85,,-88,,-88,,,,,,,,-87,,,,,,,,
1453856014681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,,-80,-79,-81,-80,-86,-85,,-88,,-88,,,,,,,,-87,,,,,,,,
1453856017010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,,-80,-79,-81,,,-85,,-88,,-88,,,,,,,,-87,,,,,,,,
1453856019329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,-79,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856021655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856023980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856026304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856028630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856030955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856033276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856035584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856037894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856040217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856042534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
1453856044857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-88,,-88,,,,,,,,,,,,,,,,
