,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro
1526454835792,-32,-36,-40,-50,-49,-49,-48,-49,-57,-37,-76,-52,-45,-48,-51,-43,-57,-59,-59,-63,-68,-58,-200,-79,-69,-72,-63,-70,-77,-62,-72,-73,-82,-82,-59,-63,-66,-73,-77,-70,-71,-85,-200,-76,-200,-78,-76,-78,-83,-75,-64,-82,-73,-200,-67,-79,-79,-72,-200,-89,-64,-86,-200,-91,-75,-78,-74,-200,-81,-75,-200,-83,-200,-200,-77,-70,-200,-79,-200,-78,-84,-81,-67,-85,-77,-200,-200,-86,-88,-81,-86,-88,-200,-89,-89,-200,-200,-200,-200,-86,-200,-91,-86,-82,-88,-200,-200,-77,-83,-200,-88,-200,-200,-74,-86,-200,-200,-200,-200,-200
1526454836177,-32,-36,-40,-50,-49,-49,-48,-49,-57,-37,-76,-52,-45,-48,-51,-43,-57,-59,-59,-63,-68,-58,-200,-79,-69,-72,-63,-70,-77,-62,-72,-73,-82,-82,-59,-63,-66,-73,-77,-70,-71,-85,-200,-76,-200,-78,-76,-78,-83,-75,-64,-82,-73,-200,-67,-79,-79,-72,-200,-89,-64,-86,-200,-91,-75,-78,-74,-200,-81,-75,-200,-83,-200,-200,-77,-70,-200,-79,-200,-78,-84,-81,-67,-85,-77,-200,-200,-86,-88,-81,-86,-88,-200,-89,-89,-200,-200,-200,-200,-86,-200,-91,-86,-82,-88,-200,-200,-77,-83,-200,-88,-200,-200,-74,-86,-200,-200,-200,-200,-200
1526454838838,-32,-35,-41,-50,-45,-48,-50,-49,-56,-40,-76,-51,-45,-48,-51,-46,-51,-59,-58,-63,-68,-65,-200,-77,-69,-72,-65,-71,-77,-62,-73,-73,-82,-82,-63,-63,-66,-77,-73,-69,-71,-85,-200,-76,-200,-79,-81,-77,-84,-75,-64,-81,-73,-200,-66,-79,-79,-69,-200,-80,-65,-86,-200,-91,-74,-78,-200,-90,-200,-76,-200,-83,-200,-200,-78,-75,-200,-79,-200,-72,-83,-81,-69,-85,-77,-88,-200,-86,-88,-80,-200,-80,-200,-89,-90,-200,-200,-200,-200,-87,-200,-200,-86,-81,-88,-200,-200,-77,-83,-200,-88,-80,-200,-200,-86,-91,-200,-200,-200,-200
1526454839190,-35,-35,-40,-44,-46,-54,-48,-49,-58,-39,-76,-52,-45,-49,-49,-46,-51,-51,-58,-61,-69,-59,-200,-77,-70,-72,-65,-71,-77,-62,-73,-75,-84,-82,-58,-63,-66,-76,-80,-69,-70,-85,-72,-200,-200,-73,-81,-77,-84,-74,-63,-78,-72,-200,-47,-79,-79,-80,-200,-80,-65,-85,-200,-200,-74,-80,-74,-84,-200,-59,-82,-83,-200,-200,-76,-74,-200,-78,-200,-77,-83,-81,-67,-85,-76,-88,-90,-86,-90,-81,-200,-80,-200,-87,-90,-200,-200,-200,-200,-87,-200,-90,-86,-81,-88,-200,-200,-77,-83,-200,-88,-80,-200,-200,-86,-91,-91,-95,-200,-200
1526454841875,-14,-38,-41,-48,-57,-51,-51,-49,-57,-17,-74,-53,-45,-49,-50,-43,-56,-61,-58,-56,-68,-58,-200,-80,-62,-72,-65,-71,-77,-60,-72,-70,-84,-74,-59,-64,-67,-76,-77,-69,-70,-87,-72,-200,-200,-79,-78,-79,-84,-74,-63,-78,-73,-200,-68,-78,-79,-73,-200,-76,-63,-85,-200,-200,-74,-80,-74,-89,-200,-76,-82,-84,-200,-200,-77,-71,-200,-78,-200,-77,-83,-77,-69,-200,-77,-88,-90,-86,-90,-81,-200,-80,-200,-87,-90,-200,-200,-90,-200,-87,-200,-90,-87,-82,-88,-200,-200,-77,-83,-200,-200,-80,-200,-200,-200,-91,-91,-95,-200,-200
1526454842225,-14,-38,-41,-48,-57,-51,-51,-49,-57,-17,-74,-53,-45,-49,-50,-43,-56,-61,-58,-56,-68,-58,-200,-80,-62,-72,-65,-71,-77,-60,-72,-70,-84,-74,-59,-64,-67,-76,-77,-69,-70,-87,-72,-200,-200,-79,-78,-79,-84,-74,-63,-78,-73,-200,-68,-78,-79,-73,-200,-76,-63,-85,-200,-200,-74,-80,-74,-89,-200,-76,-82,-84,-200,-200,-77,-71,-200,-78,-200,-77,-83,-77,-69,-200,-77,-88,-90,-86,-90,-81,-200,-80,-200,-87,-90,-200,-200,-90,-200,-87,-200,-90,-87,-82,-88,-200,-200,-77,-83,-200,-200,-80,-200,-200,-200,-91,-91,-95,-200,-200
1526454844923,-30,-33,-41,-50,-49,-47,-51,-49,-55,-38,-75,-52,-46,-49,-50,-44,-51,-59,-59,-63,-68,-61,-200,-80,-62,-200,-64,-71,-77,-61,-73,-70,-84,-75,-63,-63,-69,-75,-77,-69,-73,-85,-72,-73,-200,-79,-77,-79,-85,-68,-64,-78,-73,-200,-68,-78,-78,-71,-200,-74,-65,-85,-200,-200,-74,-80,-74,-89,-200,-77,-82,-84,-200,-200,-77,-70,-200,-78,-200,-80,-79,-83,-68,-79,-77,-88,-90,-87,-90,-81,-200,-80,-200,-87,-90,-200,-200,-90,-200,-87,-200,-90,-86,-82,-200,-200,-200,-200,-200,-200,-200,-80,-200,-74,-200,-91,-91,-100,-200,-200
1526454845264,-30,-33,-41,-50,-49,-47,-51,-49,-55,-38,-75,-52,-46,-49,-50,-44,-51,-59,-59,-63,-68,-61,-200,-80,-62,-200,-64,-71,-77,-61,-73,-70,-84,-75,-63,-63,-69,-75,-77,-69,-73,-85,-72,-73,-200,-79,-77,-79,-85,-68,-64,-78,-73,-200,-68,-78,-78,-71,-200,-74,-65,-85,-200,-200,-74,-80,-74,-89,-200,-77,-82,-84,-200,-200,-77,-70,-200,-78,-200,-80,-79,-83,-68,-79,-77,-88,-90,-87,-90,-81,-200,-80,-200,-87,-90,-200,-200,-90,-200,-87,-200,-90,-86,-82,-200,-200,-200,-200,-200,-200,-200,-80,-200,-74,-200,-91,-91,-100,-200,-200
1526454847954,-31,-33,-41,-50,-49,-54,-49,-49,-55,-38,-75,-52,-45,-50,-51,-44,-56,-61,-58,-61,-68,-61,-200,-81,-62,-200,-66,-70,-77,-59,-73,-74,-83,-79,-63,-62,-68,-76,-79,-72,-75,-85,-74,-65,-200,-74,-79,-79,-84,-68,-64,-78,-72,-200,-62,-79,-78,-85,-200,-74,-64,-84,-200,-200,-75,-80,-73,-89,-200,-76,-83,-84,-200,-200,-77,-70,-200,-78,-200,-78,-82,-83,-67,-79,-74,-200,-90,-88,-90,-81,-200,-200,-90,-87,-90,-87,-200,-90,-200,-87,-200,-90,-86,-82,-87,-200,-200,-200,-200,-200,-200,-83,-200,-74,-200,-200,-91,-100,-90,-200
1526454848311,-31,-33,-41,-50,-49,-54,-49,-49,-55,-38,-75,-52,-45,-50,-51,-44,-56,-61,-58,-61,-68,-61,-200,-81,-62,-200,-66,-70,-77,-59,-73,-74,-83,-79,-63,-62,-68,-76,-79,-72,-75,-85,-74,-65,-200,-74,-79,-79,-84,-68,-64,-78,-72,-200,-62,-79,-78,-85,-200,-74,-64,-84,-200,-200,-75,-80,-73,-89,-200,-76,-83,-84,-200,-200,-77,-70,-200,-78,-200,-78,-82,-83,-67,-79,-74,-200,-90,-88,-90,-81,-200,-200,-90,-87,-90,-87,-200,-90,-200,-87,-200,-90,-86,-82,-87,-200,-200,-200,-200,-200,-200,-83,-200,-74,-200,-200,-91,-100,-90,-200
1526454851003,-35,-35,-41,-52,-46,-50,-49,-49,-55,-39,-75,-51,-61,-49,-48,-44,-51,-51,-58,-61,-68,-61,-200,-80,-70,-200,-66,-70,-78,-60,-72,-74,-83,-75,-63,-58,-63,-78,-79,-77,-71,-85,-74,-65,-200,-74,-79,-80,-84,-68,-63,-78,-72,-80,-67,-79,-78,-71,-200,-74,-64,-84,-200,-91,-75,-200,-74,-89,-200,-76,-82,-82,-76,-200,-77,-70,-200,-79,-200,-79,-84,-80,-70,-79,-74,-200,-200,-88,-200,-81,-87,-200,-90,-200,-89,-87,-200,-90,-200,-85,-90,-90,-86,-83,-87,-200,-200,-78,-200,-200,-200,-82,-200,-71,-200,-200,-200,-100,-90,-200
1526454851351,-35,-35,-41,-52,-46,-50,-49,-49,-55,-39,-75,-51,-61,-49,-48,-44,-51,-51,-58,-61,-68,-61,-200,-80,-70,-200,-66,-70,-78,-60,-72,-74,-83,-75,-63,-58,-63,-78,-79,-77,-71,-85,-74,-65,-200,-74,-79,-80,-84,-68,-63,-78,-72,-80,-67,-79,-78,-71,-200,-74,-64,-84,-200,-91,-75,-200,-74,-89,-200,-76,-82,-82,-76,-200,-77,-70,-200,-79,-200,-79,-84,-80,-70,-79,-74,-200,-200,-88,-200,-81,-87,-200,-90,-200,-89,-87,-200,-90,-200,-85,-90,-90,-86,-83,-87,-200,-200,-78,-200,-200,-200,-82,-200,-71,-200,-200,-200,-100,-90,-200
1526454854017,-32,-37,-42,-50,-47,-53,-51,-50,-56,-37,-78,-47,-45,-49,-50,-46,-51,-61,-59,-65,-71,-62,-200,-80,-69,-72,-65,-72,-77,-63,-70,-71,-83,-72,-64,-65,-65,-76,-81,-74,-70,-84,-75,-71,-200,-77,-75,-80,-88,-74,-63,-77,-72,-80,-64,-78,-78,-72,-200,-75,-61,-84,-200,-91,-76,-80,-75,-89,-200,-78,-81,-82,-76,-200,-81,-76,-91,-79,-200,-79,-84,-80,-69,-200,-73,-200,-200,-88,-87,-81,-87,-200,-90,-89,-89,-87,-200,-200,-91,-85,-89,-89,-85,-82,-87,-200,-200,-78,-200,-200,-200,-82,-200,-71,-200,-200,-200,-200,-90,-88
1526454854387,-32,-37,-42,-50,-47,-53,-51,-50,-56,-37,-78,-47,-45,-49,-50,-46,-51,-61,-59,-65,-71,-62,-200,-80,-69,-72,-65,-72,-77,-63,-70,-71,-83,-72,-64,-65,-65,-76,-81,-74,-70,-84,-75,-71,-200,-77,-75,-80,-88,-74,-63,-77,-72,-80,-64,-78,-78,-72,-200,-75,-61,-84,-200,-91,-76,-80,-75,-89,-200,-78,-81,-82,-76,-200,-81,-76,-91,-79,-200,-79,-84,-80,-69,-200,-73,-200,-200,-88,-87,-81,-87,-200,-90,-89,-89,-87,-200,-200,-91,-85,-89,-89,-85,-82,-87,-200,-200,-78,-200,-200,-200,-82,-200,-71,-200,-200,-200,-200,-90,-88
1526454857066,-32,-34,-42,-50,-43,-53,-50,-50,-57,-38,-78,-51,-47,-49,-48,-48,-48,-61,-59,-62,-71,-61,-200,-80,-70,-72,-62,-70,-76,-60,-70,-74,-200,-75,-54,-59,-69,-78,-78,-73,-70,-86,-75,-71,-200,-82,-75,-79,-88,-74,-63,-77,-71,-80,-68,-77,-78,-77,-200,-76,-65,-200,-200,-90,-74,-79,-73,-90,-79,-77,-81,-83,-76,-200,-78,-75,-91,-79,-200,-79,-81,-82,-69,-200,-73,-200,-200,-200,-87,-82,-87,-200,-200,-89,-89,-88,-200,-200,-91,-85,-89,-89,-86,-82,-87,-200,-200,-77,-200,-200,-200,-82,-200,-71,-200,-200,-200,-95,-200,-88
1526454857426,-32,-34,-42,-50,-43,-53,-50,-50,-57,-38,-78,-51,-47,-49,-48,-48,-48,-61,-59,-62,-71,-61,-200,-80,-70,-72,-62,-70,-76,-60,-70,-74,-200,-75,-54,-59,-69,-78,-78,-73,-70,-86,-75,-71,-200,-82,-75,-79,-88,-74,-63,-77,-71,-80,-68,-77,-78,-77,-200,-76,-65,-200,-200,-90,-74,-79,-73,-90,-79,-77,-81,-83,-76,-200,-78,-75,-91,-79,-200,-79,-81,-82,-69,-200,-73,-200,-200,-200,-87,-82,-87,-200,-200,-89,-89,-88,-200,-200,-91,-85,-89,-89,-86,-82,-87,-200,-200,-77,-200,-200,-200,-82,-200,-71,-200,-200,-200,-95,-200,-88
1526454860114,-32,-35,-42,-51,-51,-53,-50,-50,-50,-39,-78,-49,-44,-48,-49,-47,-51,-58,-59,-65,-70,-61,-200,-79,-70,-72,-65,-70,-76,-58,-73,-75,-200,-75,-63,-64,-69,-78,-78,-71,-71,-86,-75,-66,-200,-82,-79,-79,-86,-74,-63,-84,-71,-200,-68,-77,-78,-78,-200,-75,-64,-200,-200,-90,-74,-79,-73,-89,-79,-78,-81,-82,-200,-200,-78,-72,-91,-79,-200,-200,-81,-81,-69,-200,-73,-200,-200,-87,-87,-81,-200,-200,-91,-89,-200,-88,-200,-200,-91,-85,-88,-89,-86,-82,-89,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-88
1526454860468,-32,-35,-42,-51,-51,-53,-50,-50,-50,-39,-78,-49,-44,-48,-49,-47,-51,-58,-59,-65,-70,-61,-200,-79,-70,-72,-65,-70,-76,-58,-73,-75,-200,-75,-63,-64,-69,-78,-78,-71,-71,-86,-75,-66,-200,-82,-79,-79,-86,-74,-63,-84,-71,-200,-68,-77,-78,-78,-200,-75,-64,-200,-200,-90,-74,-79,-73,-89,-79,-78,-81,-82,-200,-200,-78,-72,-91,-79,-200,-200,-81,-81,-69,-200,-73,-200,-200,-87,-87,-81,-200,-200,-91,-89,-200,-88,-200,-200,-91,-85,-88,-89,-86,-82,-89,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-88
