TimeStamp,e0:d1:73:a1:20:e2,e0:d1:73:a1:20:ed,54:78:1a:24:67:cd,e0:d1:73:a1:20:e0,54:78:1a:24:67:c0,54:78:1a:24:67:cf,84:78:ac:dc:d4:a2,84:78:ac:dc:d4:ad,20:3a:07:aa:41:3d,20:3a:07:aa:41:30,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,e0:d1:73:d8:74:90,e0:d1:73:d8:74:92,e0:d1:73:d8:74:9d,e0:d1:73:95:71:4f,e0:d1:73:de:ac:12,e0:d1:73:95:71:4d,e0:d1:73:d8:74:9f,e0:d1:73:a1:20:ef,e0:d1:73:0f:2f:7f,e0:d1:73:de:ac:10,e0:d1:73:95:71:40,e0:d1:73:0f:2f:70,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:72,e0:d1:73:95:71:42,e0:d1:73:bd:c9:a2,e0:d1:73:de:ac:1f,e0:d1:73:bd:c9:af,e0:d1:73:de:ac:1d,e0:d1:73:bd:c9:ad,54:78:1a:24:67:c2,cc:d5:39:9a:e4:80
1454082456014,,,,,,,,,,,,,,,,-77,,-83,,,-70,,-77,-68,-58,-70,-60,-76,-57,,-62,,-62,,
1454082459197,,,,,,,,,,,,,,,,-80,,-83,,,-71,,-77,-68,-58,-71,-70,-76,-60,,-76,,-77,,
1454082462396,,,,,,,,,,,,,,,,-76,,-77,,,-63,,-73,-68,-65,-63,-70,-75,-63,,-71,,-71,,
1454082465597,,,,,,,,,,,,,,,,-69,,-70,,,-58,,-68,-68,-62,-58,-57,-75,-63,,-70,,-70,,
1454082468795,,,,,,,,,,,,,,,,-68,,-69,,,-57,,-67,-54,-61,-57,-54,-67,-61,,-73,,-73,,
1454082471999,,,,,,,,,,,,,,,,-64,,-63,,,-59,,-66,-54,-63,-59,-54,-68,-60,,-72,,-72,,
1454082475225,,,,,,,,,,,,,,,,-66,,-67,,,-60,,-65,-54,-64,-60,-54,-66,-62,,-72,,-72,,
1454082478408,,,,,,,,,,,,,,,,-69,,-69,,,-58,,-65,-58,-64,-58,-56,-64,-62,,-74,,-75,,
1454082481640,,,,,,,,,,,,,,,,-65,,-64,,,-60,,,-54,,-60,-54,-68,-63,,-72,,-71,,
1454082484843,,,,,,,,,,,,,,,,-78,,-78,,,-72,,-65,-56,-61,-72,-54,-67,-61,,-72,,-71,,
1454082488023,,,,,,,,,,,,,,,,-84,,-84,,,-72,,-77,-65,-61,-77,-66,-75,-61,,-90,,,,
1454082491220,,,,,,,,,,,,,,,,-86,,-84,,,-79,,-82,-73,-79,-79,-66,-75,-79,,-90,,-88,,
1454082494451,,,,,,,,,,,,,,,,-84,,,,,-80,,-82,-69,-79,-82,-69,,-79,,,,-88,,
1454082497632,,,,,,,,,,,,,,,,-84,,,,,-80,,,-73,,-79,-73,,,,,,,,
1454082500915,,,,,,,,,,,,,,,,,,,,,,,,-77,,-79,-73,,,,,,,,
1454082504169,,,,,,,,,,,,,,,,,,,,,-85,,,-77,,-84,-79,,,,,,,,
1454082507376,,,,,,,,,,,,,,,,-88,,-86,,,-77,,,-75,,-77,-79,,,,,,,,
1454082510578,,,,,,,,,,,,,,,,-80,,-81,,,-75,,,-71,,-75,-72,,,,,,,,
1454082513781,,,,,,,,,,,,,,,,-80,,-82,,,-74,,-78,-65,-79,-74,-72,-77,,,-86,,-89,,
1454082516989,,,,,,,,,,,,,,,,-77,,-77,,,-69,,-78,-61,-79,-69,-60,-78,,,-86,,-89,,
1454082520189,,,,,,,,,,,,,,,,-81,,-80,,,-72,,-76,-62,-79,-72,-63,-78,-79,,,,,,
1454082523404,,,,,,,,,,,,,,,,-79,,-78,,,-66,,-76,-60,-76,-66,-63,-79,-77,,-85,,-84,,
1454082526596,,,,,,,,,,,,,,,,-74,,-73,,,-59,,-75,-60,-75,-58,-60,-79,-77,,-81,,-84,,
1454082529781,,,,,,,,,,,,,,,,-66,,-67,,,-52,,-68,-50,-67,-52,-49,-68,-68,,-74,,-74,,
1454082532963,,,,,,,,,,,,,,,,-68,,-69,,,-56,,-65,-50,-69,-56,-50,-68,-68,,-72,,-72,,
1454082536154,,,,,,,,,,,,,,,,-69,,-69,,,-55,,-70,-55,-64,-55,-56,,-63,,-74,,-74,,
1454082539336,,,,,,,,,,,,,,,,-65,,-64,,,-55,,-61,-55,-61,-54,-49,-61,-63,,-73,,-73,,
1454082542561,,,,,,,,,,,,,,,,-62,,-62,,,-55,,-62,-52,-59,-55,-53,-62,-60,,-69,,-69,,
1454082545763,,,,,,,,,,,,,,,,-68,,-68,,,-62,,-63,-52,-59,-62,-50,-65,-62,,-69,,-69,,
1454082548946,,,,,,,,,,,,,,,,-68,,-67,,,-58,,-63,-52,-65,-58,-52,-64,-62,,-73,,-72,,
1454082552143,,,,,,,,,,,,,,,,-65,,-67,,,-60,,-64,-55,-65,-60,-59,-64,-59,,-69,,-69,,
1454082555341,,,,,,,,,,,,,,,,-64,,-65,,,-55,,-64,-51,,-55,-59,-62,-58,,-65,,-65,,
1454082558591,,,,,,,,,,,,,,,,-66,,-65,,,-58,,,-55,,-58,-55,-64,-57,,-68,,-68,,
1454082561787,,,,,,,,,,,,,,,,-65,,-65,,,-58,,-60,-55,-60,-58,-47,-64,-57,,-62,,-62,,
1454082564974,,,,,,,,,,,,,,,,-68,,-68,,,-55,,-64,-53,-56,-55,-53,-64,-56,,-64,,-64,,
1454082568175,,,,,,,,,,,,,,,,-65,,-64,,,-55,,-64,-53,-52,-55,-51,-64,-56,,-65,,-65,,
1454082571375,,,,,,,,,,,,,,,,-64,,-65,,,-54,,-64,-48,-52,-55,-47,-63,-58,,-64,,-65,,
1454082574586,,,,,,,,,,,,,,,,-64,,-64,,,-53,,-61,-50,-63,-53,-47,-62,-63,,-65,,-65,,
1454082577782,,,,,,,,,,,,,,,,-64,,-59,,,-54,,-59,-50,-55,-54,-52,-62,-63,,-65,,-66,,
1454082580964,,,,,,,,,,,,,,,,-61,,-62,,,-56,,-61,-53,-54,-56,-55,-61,-54,,-63,,-63,,
1454082584149,,,,,,,,,,,,,,,,-62,,-61,,,-58,,-60,-55,-57,-58,-54,-60,-56,,-64,,-64,,
1454082587346,,,,,,,,,,,,,,,,-59,,-60,,,-54,,-57,-53,-53,-54,-52,-60,-52,,-65,,-64,,
1454082590545,,,,,,,,,,,,,,,,-65,,-65,,,-52,,-61,-49,-54,-52,-52,-60,-57,,-63,,-63,,
1454082593766,,,,,,,,,,,,,,,,-61,,-61,,,-54,,-63,-49,-54,-55,-49,-61,-58,,-61,,-61,,
1454082596957,,,,,,,,,,,,,,,,-58,,-59,,,-58,,-63,-47,-55,-58,-47,-61,-57,,-64,,-64,,
1454082600155,,,,,,,,,,,,,,,,-58,,-58,,,-54,,-55,-47,-60,-54,-47,-56,-60,,-64,,-64,,
1454082603338,,,,,,,,,,,,,,,,-58,,-57,,,-54,,-62,-48,-60,-54,-47,-60,-60,,-70,,-70,,
1454082606540,,,,,,,,,,,,,,,,-59,,-60,,,-58,,-59,-51,-60,-59,-47,-60,-59,,-68,,-67,,
1454082609748,,,,,,,,,,,,,,,,-58,,-58,,,-57,-82,-57,-51,-63,-57,-51,-60,-59,,-70,,-70,,
1454082612938,,,,,,,,,,,,,,,,-54,,-54,,,-57,-82,-57,-57,-63,-57,-54,-52,-64,,-69,,-69,,
1454082616133,,,,,,,,,,,,,,,,-59,,-59,,,-59,,-55,-53,-63,-58,-54,-56,-60,,-67,,-66,,
1454082619316,,,,,,,,,,,,,,,,-55,,-55,,,-60,,-55,-56,-63,-60,-55,-54,-59,,-71,,-71,,
1454082622563,,,,,,,,,,,,,,,,-58,,-59,,,-60,,-54,-54,-61,-60,-55,-55,-61,,-70,,-70,,
1454082625760,,,,,,,,,,,,,,,,-51,,-51,,,-59,,-53,-56,-62,-58,-57,-53,-63,,-68,,-68,,
1454082628962,,,,,,,,,,,,,,,,-57,,-58,,,-58,,-52,-56,-62,-58,-57,-53,-63,,-69,,-69,,
1454082632142,,,,,,,,,,,,,,,,-56,,-57,,,-57,,-52,-57,-62,-57,-57,-59,-61,,-69,,-69,,
1454082635341,,,,,,,,,,,,,,,,-59,,-59,,,-60,,-57,-53,-57,-59,-51,-54,-61,,-63,,-63,,
1454082638541,,,,,,,,,,,,,,,,-60,,-59,,,-53,,-57,-53,-57,-53,-52,-56,-58,,-66,,-66,,
1454082641741,,,,,,,,,,,,,,,,-63,,-63,,,-56,,-63,-51,-58,-56,-50,-61,-57,,-60,,-60,,
1454082644952,,,,,,,,,,,,,,,,-65,,-66,,,-57,,-60,-51,-55,-57,-54,-61,-57,,-63,,-63,,
1454082648151,,,,,,,,,,,,,,,,-59,,-58,,,-55,,-60,-59,-55,-55,-59,-58,-54,,-55,,-55,,
1454082651347,,,,,,,,,,,,,,,,-62,,-62,,,-59,,-60,-55,-53,-59,-56,-61,-55,,-63,,-63,,
1454082654545,,,,,,,,,,,,,,,,-62,,-62,,,-59,,-62,-55,-58,-58,-55,-61,-55,,-62,,-62,,
1454082657742,,,,,,,,,,,,,,,,-58,,-59,,,-59,,-62,-54,-59,-59,-54,-62,-59,,-67,,-67,,
1454082660942,,,,,,,,,,,,,,,,-60,,-61,,,-54,,-58,-50,-56,-54,-54,-59,-57,,-62,,-62,,
1454082664129,,,,,,,,,,,,,,,,-55,,-54,,,-63,,-58,-53,-56,-63,-54,-58,-52,,-58,,-58,,
1454082667355,,,,,,,,,,,,,,,,-58,,-57,,,-61,,-57,-59,-55,-61,-54,-57,-55,,-68,,-68,,
1454082670555,,,,,,,,,,,,,,,,-61,-80,-60,,,-61,,-53,-57,-63,-62,,-54,-63,,-66,,-66,,
1454082673768,,,,,,,,,,,,,,,,-56,-80,-56,,,-63,,-54,-56,-63,-63,-56,-55,-58,,-63,,-63,,
1454082676949,,,,,,,,,,,,,,,,-55,,-56,,,-64,-82,-54,-58,-61,-64,-59,-52,-58,,-68,,-68,,
1454082680198,,,,,,,,,,,,,,,,-56,,-56,,,-59,-82,-54,-55,-61,-59,-55,-54,-62,,-64,,-64,,
1454082683417,,,,,,,,,,,,,,,,-58,,-57,,,-61,,-56,-59,-60,-61,-55,-54,-62,,-70,,-69,,
1454082686615,,,,,,,,,,,,,,,,-57,,-58,,,-62,,-53,-59,-63,-61,-52,-54,-62,,-69,,-69,,
1454082689807,,,,,,,,,,,,,,,,-56,,-56,,,-60,,-53,-53,-63,-60,-54,-55,-66,,-68,,-68,,
1454082693006,,,,,,,,,,,,,,,,-56,,-56,,,-62,,-56,-56,-67,-62,-54,-55,-65,,-72,,-72,,
1454082696188,,,,,,,,,,,,,,,,-53,-75,-53,,,-61,-74,-52,-57,-67,-61,-56,-54,-70,,-76,,-76,,
1454082699389,,,,,,,,,,,,,,,,-54,-75,-54,,,-63,-75,-51,-57,-71,-63,-56,-50,-71,,-73,,-73,,
1454082702604,,,,,,,,,,,,,,,,-46,-72,-47,,,-60,-73,-52,-55,-67,-60,-55,-50,-71,,-77,,-78,,
1454082705804,,,,,,,,,,,,,,,,-52,-71,-52,,,-67,-70,-52,-59,-67,-66,-59,-54,-68,,-75,,-74,,
1454082708999,,,,,,,,,,,,,,,,-52,-74,-53,,,-61,-58,-47,-59,-68,-61,-59,-45,-66,,-73,,-73,,
1454082712218,,,,,,,,,,,,,,,,-59,-78,-59,,,-61,-77,-54,-54,-63,-61,-53,-45,-66,,-68,,-68,,
1454082715395,,,,,,,,,,,,,,,,-56,-80,-55,,,-61,-78,-54,-58,-63,-61,-59,-54,-64,,-72,,-72,,
1454082718608,,,,,,,,,,,,,,,,-50,-80,-50,,,-62,-78,-58,-57,-64,-62,-59,-58,-65,,-70,,-70,,
1454082721815,,,,,,,,,,,,,,,,-54,,-54,,,-62,,-52,-57,-60,-62,-57,-58,-65,,-69,,-70,,
1454082725064,,,,,,,,,,,,,,,,-53,,-54,,,-64,,-50,-57,-63,-64,-56,-53,-65,,-69,,-69,,
1454082728279,,,,,,,,,,,,,,,,-51,,-50,,,-64,,-50,-54,-63,-64,-55,-50,-66,,-69,,-70,,
1454082731536,,,,,,,,,,,,-83,,,,-47,,-47,,,-64,,-47,-61,-66,-64,-59,-48,-64,,-70,,-71,,
1454082734734,,,,,,,,,,-79,-56,-79,,,,-49,-78,-49,,,-68,-80,-47,-59,-66,-67,-58,-44,-67,,-73,,-74,,
1454082737935,,,,,,,,,,-77,-87,-77,,,,-44,-78,-44,,,-65,-80,-44,-62,-64,-66,-58,-44,-68,,-74,,-74,,
1454082741133,,,,,,,,,,-76,-83,-75,,,,-45,-76,-45,,,-69,-75,-46,-62,-65,-69,-59,-44,-68,,-75,,-76,,
1454082744330,,,,,,,,,-80,-73,-81,-73,,,,-52,-76,-51,,,-77,-71,-51,-64,-74,-77,-66,-51,-74,,-75,,-85,,
1454082747544,,,,,,,,,-74,-73,-74,-73,,,,-52,-63,-51,,,-80,-65,-51,-72,-76,-77,-66,-50,-74,-84,,,-84,,
1454082750825,,,,,,,,,-74,-69,-74,-69,,,,-63,-63,-62,,,-84,-69,-55,-73,-76,,-77,-53,-80,-82,,,-84,,
1454082754031,,,,,,,,,-74,-62,-75,-61,,,,-61,-68,-61,,,-85,-69,-59,-78,,-84,-76,-57,-80,-83,,,,,
1454082757223,,,,,,,,,-68,-56,-68,-56,,,,-56,-68,-56,,,-82,-69,-59,-77,-84,-84,-76,-57,,-83,,,,,
1454082760422,,,,,,,,,-81,-65,-80,-65,,,,-55,-69,-56,,,-75,-69,-54,-74,-84,-76,-75,-51,-82,-83,,,-85,,
1454082763620,,,,,,,,,-81,-71,-82,-71,,,,-51,-72,-51,,,-70,-69,-50,-68,-77,-70,-75,-53,-77,-84,,,-83,,
1454082766837,,,,,,,,,,-77,-82,-74,,,,-49,-74,-49,,,-64,-73,-45,-61,-73,-64,-60,-46,-74,-84,-77,,-77,,
1454082770039,,,,,,,,,,-76,-82,-76,,,,-42,-77,-42,,,-71,-79,-45,-60,-66,-71,-61,-46,-67,,-71,,-71,,
1454082773233,,,,,,,,,,-74,,-75,,,,-50,-77,-50,,,-64,-79,-43,-60,-64,-65,-61,-44,-70,,-75,,-74,,
1454082776448,,,,,,,,,,-71,-81,-75,,,,-48,,-48,,,-65,-83,-44,-62,-71,-65,-63,-44,-70,,-76,,-76,,
1454082779631,,,,,,,,,-74,-71,-74,-71,,,,-63,,-63,,,-76,-83,-44,-67,-71,-76,-70,-60,-72,,-76,,-85,,
1454082782845,,,,,,,,,-76,-68,-75,-69,,,,-63,,-63,,,-76,,-63,-67,-75,-77,-71,-62,-75,,,,-82,,
1454082786043,,,,,,,,,-72,-69,-72,-69,,,,-65,,-66,,,-78,,-58,-71,-73,-78,-72,-62,-75,,,,-82,,
1454082789244,,,,,,,,,-69,-62,-69,-62,,,,-64,,-64,,,-65,,-63,-71,-76,-75,-72,-62,-75,,,,-86,,
1454082792456,,,,,,,,,-74,-63,-75,-63,,,,-64,,-63,,,-81,,-62,-72,-70,-79,,-62,-72,,,,-86,,
1454082795730,,,,,,,,,-68,-57,-68,-57,,,,-69,,-69,,,-81,,-68,-72,-69,-83,-75,-62,-72,,,,-86,,
1454082799003,,,,,,,,,-62,-53,-63,-53,,,,-65,-75,-67,,,,,-65,-79,-78,-83,-75,-62,-81,,,,-89,,
1454082802306,,,,,,,,,-60,-58,-60,-58,,,,-62,-69,-62,,,,-69,-65,-79,-78,,,-62,-81,,,,-89,,
1454082805557,,,,,,,,,-73,-64,-73,-62,,,,-71,-68,-72,,,,-69,-65,-79,-81,-84,,-64,,-83,,,,,
1454082808787,,,,,,,,,-77,-60,-77,-62,,,,-69,-70,-68,,,,,-75,-79,-81,-84,-84,-73,-79,-83,,,,,
1454082812051,,,,,,,,,-72,-62,-72,-62,,,,-59,-76,-59,,,,,-65,-81,-76,,-84,-66,-80,,,,,,
1454082815321,,,,,,,,,-59,-58,-59,-58,,,,-64,-76,-65,,,,-74,-62,-81,-75,,,-61,-74,,,,-89,,
1454082818567,,,,,,,,,-57,-51,-57,-51,,,,-74,-76,-75,,,,-71,-62,,-73,,,-72,-73,,,,-89,,
1454082821815,,,,,,,,,-67,-48,-67,-48,,,,-79,-79,-80,,,,-76,-69,,-78,,,-72,-73,,,,,,
1454082825064,,,,,,,,,-65,-49,-66,-49,,,,-77,-79,-78,,,,-81,-73,,-74,,,,,,,,,,
1454082828316,,,,,,,,,-69,-59,-69,-58,,,,-78,-82,-77,,,,-81,-74,,-72,,,-72,-72,,,,-79,,
1454082831616,,,,,,,,,-62,-57,-62,-57,,,,-86,-82,-77,,,,,-74,,-72,,,-74,-77,,,,-79,,
1454082834914,,,,,,,,,-61,-51,-61,-57,,,,-86,,,,,,,,,-69,,,-74,-69,,,,,,
1454082838197,,,,,,,,,-60,-53,-60,-53,,,,,,,,,,,,,-69,,,,-69,,,,-87,,
1454082841497,,,,,,,,,-59,-50,-59,-50,,,,,,,,,,,,,-72,,,,-71,,,,-87,,
1454082844837,,,,,,,,,-56,-47,-56,-47,,,,,,,,,,,,,-73,,,,-71,,,,,,
1454082848132,,,,,,,,,-62,-49,-61,-49,,,,,,,,,,,,,-73,,,,-76,,,,-86,,
1454082851435,,,,,,,,,-65,-57,-65,-57,,,,,,,,,,,,,-81,,,,-76,,,,-86,,
1454082854732,,,,,,,,,-66,-56,-67,-57,,,,,,,,,,,,,-71,,,,-71,,,,-85,,
1454082858032,,,,,,,,,-70,-61,-70,-61,,,,,,,,,,,,,-76,,,,-76,,,,-89,,
1454082861334,,,,,,,,,-73,-63,-73,-63,,,,,,,,,,,,,-76,,,,-79,,,,-89,,
1454082864634,,,,,,,,,-67,-66,-68,-68,,,,,,,,,,,,,,,,,-73,,,,-85,,
1454082867930,,,,,,,,,-69,-62,-70,-68,,,,,,,,,,,,,-68,,,,-73,,,,-85,,
1454082871233,,,,,,,,,-79,-61,-79,-61,,,,,,,,,,,,,-68,,,,-74,,,,-84,,
1454082874536,,,,,,,,,-67,-63,-67,-63,,,,,,,,,,,,,-73,,,,-72,,,,-84,,
1454082877779,,,,,,,,,-62,-56,-65,-56,,,,-85,,,,,,,,,-73,,,,-72,,-73,,-73,,
1454082881047,,,,,,,,,-63,-54,-63,-54,,,,-83,,-83,,,,,-79,,,,,,-62,,-77,,-73,,
1454082884312,,,,,,,,,-69,-55,-70,-55,,,,-78,-83,-78,,,,-82,-79,,-77,,,-69,-76,,-77,,-80,,
1454082887560,,,,,,,,,-73,-60,-70,-60,,,,-82,-83,-78,,,,-82,-75,,-77,,-83,-77,-65,,,,-69,,
1454082890745,,,,,,,,,-79,-70,-81,-70,,,,-80,,-80,,,-84,,-72,,-55,,-77,-72,-55,,-68,,-70,,
1454082893945,,,,,,,,,-84,-72,-84,-70,,,,-74,,-74,,,-84,,-71,,-57,,-73,-72,-55,,-68,,-68,,
1454082897248,,,,,,,,,-84,-70,-87,-71,,,,-70,,-71,,,-77,,-69,,-48,-76,-73,-71,-49,,-59,,-59,,
1454082900445,,,,,,,,,,-81,-87,-79,,,,-70,,-70,,,-75,,-69,,-45,-75,-73,-71,-43,,-57,,-57,,
1454082903657,,,,,,,,,,-80,,-79,,,,-64,,-65,,,-76,,-62,-68,-45,-77,-68,,-44,,-56,,-56,,
1454082906860,,,,,,,,,,-80,,-80,,,,-61,,-61,,,-72,,-62,-68,-49,-73,-68,-65,-48,,-52,,-52,,
1454082910068,,,,,,,,,,,,-80,,,,-68,,-68,,,-69,,-63,-63,-46,-70,-68,-64,-46,,-57,,-57,,
1454082913272,,,,,,,,,,-83,,-84,,,,-63,,-64,,,-68,,-64,-63,-44,-67,-61,-64,-46,,-53,,-53,,
1454082916458,,,,,,,,,,-83,,-84,,,,-62,,-63,,,-65,,-64,-62,-44,-65,-64,-61,-45,,-53,,-53,,
1454082919666,,,,,,,,,,,,,,,,-68,,-67,,,-64,,-68,-58,-44,-65,-64,-65,-44,,-49,,-49,,
1454082922879,,,,,,,,,,,,,,,,-68,,-69,,,-65,,-66,-61,-44,-65,-58,-65,-43,,-49,,-49,,
1454082926067,,,,,,,,,,,,,,,,-72,,-70,,,-65,,-66,-60,-45,-67,-60,-68,-44,,-45,,-45,,
1454082929278,,,,,,,,,,,,,,,,-70,,-70,,,-61,,-69,-59,-37,-61,-55,-70,-37,,-43,,-44,,
1454082932526,,,,,,,,,,,,,,,,-72,,-72,,,-69,,-69,-64,-36,-69,-62,-70,-36,,-36,,-36,,
1454082935728,,,,,,,,,,,,,,,,-70,,-71,,,-71,,-70,-64,-29,-70,-62,-70,-36,,-40,,-40,,
